date,time,currency,impact,event,detail,actual,forecast,previous,day
01/01/2024,All Day,JPY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2024#detail=139457,,,,Mon
01/01/2024,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2024#detail=139458,,,,Mon
01/01/2024,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2024#detail=139459,,,,Mon
01/01/2024,All Day,EUR,gray,French Bank Holiday,https://www.forexfactory.com/calendar?month=january.2024#detail=139460,,,,Mon
01/01/2024,All Day,EUR,gray,German Bank Holiday,https://www.forexfactory.com/calendar?month=january.2024#detail=139435,,,,Mon
01/01/2024,All Day,EUR,gray,Italian Bank Holiday,https://www.forexfactory.com/calendar?month=january.2024#detail=139461,,,,Mon
01/01/2024,All Day,GBP,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2024#detail=139462,,,,Mon
01/01/2024,All Day,CAD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2024#detail=136707,,,,Mon
01/01/2024,All Day,USD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2024#detail=136575,,,,Mon
01/01/2024,All Day,NZD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2024#detail=137269,,,,Mon
02/01/2024,All Day,JPY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2024#detail=139476,,,,Tue
02/01/2024,01:01,GBP,yellow,BRC Shop Price Index y/y,https://www.forexfactory.com/calendar?month=january.2024#detail=133379,4.3%,,4.3%,Tue
02/01/2024,02:45,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2024#detail=135096,50.8,50.4,50.7,Tue
02/01/2024,06:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=january.2024#detail=137402,-10.7%,,-12.8%,Tue
02/01/2024,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2024#detail=139475,,,,Tue
02/01/2024,09:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2024#detail=134517,46.2,46.3,46.3,Tue
02/01/2024,09:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2024#detail=134627,45.3,44.3,44.4,Tue
02/01/2024,09:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2024#detail=134628,42.1,42.0,42.0,Tue
02/01/2024,09:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2024#detail=134629,43.3,43.1,43.1,Tue
02/01/2024,10:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2024#detail=134630,44.4,44.2,44.2,Tue
02/01/2024,,EUR,yellow,M3 Money Supply y/y,https://www.forexfactory.com/calendar?month=january.2024#detail=132512,-0.9%,-1.0%,-1.0%,Tue
