date,time,currency,impact,event,detail,actual,forecast,previous,day
16/10/2009,08:00,EUR,yellow,Italian Trade Balance,https://www.forexfactory.com/calendar?month=october.2009#detail=14379,-1.35B,2.23B,4.10B,Fri
16/10/2009,09:00,EUR,yellow,Trade Balance,https://www.forexfactory.com/calendar?month=october.2009#detail=13719,1.0B,5.1B,6.0B,Fri
16/10/2009,11:00,CAD,red,Core CPI m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=12927,0.3%,0.2%,0.1%,Fri
16/10/2009,,CAD,orange,CPI m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=12926,0.0%,0.1%,0.0%,Fri
16/10/2009,13:00,USD,red,TIC Long-Term Purchases,https://www.forexfactory.com/calendar?month=october.2009#detail=12146,28.6B,30.1B,15.3B,Fri
16/10/2009,13:15,USD,orange,Capacity Utilization Rate,https://www.forexfactory.com/calendar?month=october.2009#detail=11148,70.5%,69.8%,69.9%,Fri
16/10/2009,,USD,orange,Industrial Production m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=11147,0.7%,0.1%,1.2%,Fri
16/10/2009,13:55,USD,orange,Prelim UoM Consumer Sentiment,https://www.forexfactory.com/calendar?month=october.2009#detail=10693,69.4,73.6,73.5,Fri
16/10/2009,,USD,yellow,Prelim UoM Inflation Expectations,https://www.forexfactory.com/calendar?month=october.2009#detail=10721,2.8%,,2.2%,Fri
16/10/2009,19:30,USD,orange,Federal Budget Balance,https://www.forexfactory.com/calendar?month=october.2009#detail=14827,-46.6B,-43.3B,-111.4B,Fri
18/10/2009,23:01,GBP,orange,Rightmove HPI m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=12359,2.8%,,0.6%,Sun
18/10/2009,23:50,JPY,orange,Monetary Policy Meeting Minutes,https://www.forexfactory.com/calendar?month=october.2009#detail=14303,,,,Sun
18/10/2009,,JPY,orange,Tertiary Industry Activity m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=14352,0.3%,0.1%,0.6%,Sun
19/10/2009,01:00,USD,orange,Fed Chairman Bernanke Speaks,https://www.forexfactory.com/calendar?month=october.2009#detail=26315,,,,Mon
19/10/2009,02:00,AUD,orange,RBA Deputy Gov Lowe Speaks,https://www.forexfactory.com/calendar?month=october.2009#detail=26635,,,,Mon
19/10/2009,All Day,EUR,yellow,Eurogroup Meetings,https://www.forexfactory.com/calendar?month=october.2009#detail=44066,,,,Mon
19/10/2009,10:00,EUR,yellow,German Buba Monthly Report,https://www.forexfactory.com/calendar?month=october.2009#detail=50156,,,,Mon
19/10/2009,12:30,CAD,orange,Foreign Securities Purchases,https://www.forexfactory.com/calendar?month=october.2009#detail=12816,5.08B,2.97B,0.37B,Mon
19/10/2009,15:00,USD,red,Fed Chairman Bernanke Speaks,https://www.forexfactory.com/calendar?month=october.2009#detail=26316,,,,Mon
19/10/2009,17:00,USD,yellow,NAHB Housing Market Index,https://www.forexfactory.com/calendar?month=october.2009#detail=13975,18,20,19,Mon
20/10/2009,00:30,AUD,red,Monetary Policy Meeting Minutes,https://www.forexfactory.com/calendar?month=october.2009#detail=12382,,,,Tue
20/10/2009,06:00,EUR,orange,German PPI m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=11868,-0.5%,0.0%,0.5%,Tue
20/10/2009,All Day,EUR,yellow,ECOFIN Meetings,https://www.forexfactory.com/calendar?month=october.2009#detail=36355,,,,Tue
20/10/2009,08:30,GBP,orange,Public Sector Net Borrowing,https://www.forexfactory.com/calendar?month=october.2009#detail=13318,14.8B,15.2B,14.7B,Tue
20/10/2009,,GBP,yellow,M4 Money Supply m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=13319,0.7%,0.6%,0.0%,Tue
20/10/2009,12:30,CAD,orange,Leading Index m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=13409,1.1%,0.9%,1.2%,Tue
20/10/2009,,CAD,orange,Wholesale Sales m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=13444,-1.4%,-0.4%,2.6%,Tue
20/10/2009,,USD,red,Building Permits,https://www.forexfactory.com/calendar?month=october.2009#detail=11172,0.57M,0.59M,0.58M,Tue
20/10/2009,,USD,red,PPI m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=11493,-0.6%,0.1%,1.7%,Tue
20/10/2009,,USD,orange,Core PPI m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=11494,-0.1%,0.1%,0.2%,Tue
20/10/2009,,USD,orange,Housing Starts,https://www.forexfactory.com/calendar?month=october.2009#detail=11171,0.59M,0.62M,0.59M,Tue
20/10/2009,13:00,CAD,red,BOC Rate Statement,https://www.forexfactory.com/calendar?month=october.2009#detail=10566,,,,Tue
20/10/2009,,CAD,red,Overnight Rate,https://www.forexfactory.com/calendar?month=october.2009#detail=10565,0.25%,0.25%,0.25%,Tue
20/10/2009,15:00,USD,orange,FOMC Member Warsh Speaks,https://www.forexfactory.com/calendar?month=october.2009#detail=26317,,,,Tue
20/10/2009,19:15,GBP,red,BOE Gov King Speaks,https://www.forexfactory.com/calendar?month=october.2009#detail=26634,,,,Tue
20/10/2009,21:45,NZD,yellow,Visitor Arrivals m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=12905,3.8%,,-0.5%,Tue
20/10/2009,23:30,AUD,orange,MI Leading Index m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=14088,1.1%,,1.1%,Tue
21/10/2009,00:30,AUD,yellow,New Motor Vehicle Sales m/m,https://www.forexfactory.com/calendar?month=october.2009#detail=13080,2.9%,,0.1%,Wed
21/10/2009,02:00,NZD,yellow,Credit Card Spending y/y,https://www.forexfactory.com/calendar?month=october.2009#detail=12371,-2.3%,,0.1%,Wed
21/10/2009,08:30,GBP,red,MPC Asset Purchase Facility Votes,https://www.forexfactory.com/calendar?month=october.2009#detail=49133,0-0-9,0-0-9,0-0-9,Wed
21/10/2009,,GBP,red,MPC Official Bank Rate Votes,https://www.forexfactory.com/calendar?month=october.2009#detail=11650,0-0-9,0-0-9,0-0-9,Wed
21/10/2009,10:00,GBP,orange,CBI Industrial Order Expectations,https://www.forexfactory.com/calendar?month=october.2009#detail=12319,-51,-45,-48,Wed
21/10/2009,14:30,USD,orange,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=october.2009#detail=14661,1.3M,0.9M,0.4M,Wed
