date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/04/2007,23:30,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=april.2007#detail=4057,56.0,,57.7,Sun,Africa/Lagos
01/04/2007,23:50,JPY,red,Tankan Manufacturing Index,https://www.forexfactory.com/calendar?month=april.2007#detail=4052,23,24,25,Sun,Africa/Lagos
01/04/2007,23:50,JPY,orange,Tankan Non-Manufacturing Index,https://www.forexfactory.com/calendar?month=april.2007#detail=4053,22,23,22,Sun,Africa/Lagos
02/04/2007,00:30,AUD,orange,Private Sector Credit m/m,https://www.forexfactory.com/calendar?month=april.2007#detail=11305,1.4%,1.3%,1.2%,Mon,Africa/Lagos
02/04/2007,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2007#detail=18328,56.1,,53.1,Mon,Africa/Lagos
02/04/2007,01:30,AUD,red,Building Approvals m/m,https://www.forexfactory.com/calendar?month=april.2007#detail=4059,10.6%,0.5%,-2.4%,Mon,Africa/Lagos
02/04/2007,01:30,AUD,red,Retail Sales m/m,https://www.forexfactory.com/calendar?month=april.2007#detail=4058,0.9%,0.6%,0.8%,Mon,Africa/Lagos
02/04/2007,02:30,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2007#detail=18323,52.3,,53.0,Mon,Africa/Lagos
02/04/2007,06:30,AUD,orange,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=april.2007#detail=10307,9.0%,,8.1%,Mon,Africa/Lagos
02/04/2007,07:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2007#detail=43792,55.4,,56.2,Mon,Africa/Lagos
02/04/2007,07:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2007#detail=4071,62.0,63.1,63.5,Mon,Africa/Lagos
02/04/2007,07:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2007#detail=43434,53.8,54.5,54.2,Mon,Africa/Lagos
02/04/2007,08:00,EUR,orange,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2007#detail=4063,55.4,55.6,55.6,Mon,Africa/Lagos
02/04/2007,08:30,GBP,orange,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2007#detail=4045,54.4,55.0,55.4,Mon,Africa/Lagos
02/04/2007,08:30,GBP,yellow,Housing Equity Withdrawal q/q,https://www.forexfactory.com/calendar?month=april.2007#detail=10280,14.6B,14.3B,12.2B,Mon,Africa/Lagos
02/04/2007,14:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2007#detail=4027,50.9,51.3,52.3,Mon,Africa/Lagos
02/04/2007,14:00,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=april.2007#detail=4028,65.5,60.0,59.0,Mon,Africa/Lagos
02/04/2007,23:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=april.2007#detail=4055,-19.1%,-22.0%,-21.1%,Mon,Africa/Lagos
03/04/2007,01:00,CNY,yellow,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2007#detail=42299,59.6,,49.7,Tue,Africa/Lagos
03/04/2007,01:30,AUD,orange,Goods Trade Balance,https://www.forexfactory.com/calendar?month=april.2007#detail=4060,-0.84B,-1.30B,-0.82B,Tue,Africa/Lagos
03/04/2007,03:45,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=april.2007#detail=48977,1.66|3.1,,1.67|3.9,Tue,Africa/Lagos
03/04/2007,05:45,CHF,red,CPI m/m,https://www.forexfactory.com/calendar?month=april.2007#detail=4072,0.1%,0.2%,0.2%,Tue,Africa/Lagos
03/04/2007,07:00,EUR,yellow,Spanish Unemployment Change,https://www.forexfactory.com/calendar?month=april.2007#detail=43971,-15.8K,,-7.2K,Tue,Africa/Lagos
03/04/2007,08:30,GBP,yellow,Construction PMI,https://www.forexfactory.com/calendar?month=april.2007#detail=4046,58.9,57.5,57.3,Tue,Africa/Lagos
03/04/2007,09:00,EUR,yellow,PPI m/m,https://www.forexfactory.com/calendar?month=april.2007#detail=4064,0.3%,0.3%,0.2%,Tue,Africa/Lagos
03/04/2007,14:00,USD,red,Pending Home Sales m/m,https://www.forexfactory.com/calendar?month=april.2007#detail=9882,0.7%,-0.5%,-4.2%,Tue,Africa/Lagos
03/04/2007,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=april.2007#detail=4029,16.3M,16.4M,16.6M,Tue,Africa/Lagos
03/04/2007,23:01,GBP,yellow,Nationwide Consumer Confidence,https://www.forexfactory.com/calendar?month=april.2007#detail=4047,88,86,85,Tue,Africa/Lagos
03/04/2007,23:30,AUD,red,Cash Rate,https://www.forexfactory.com/calendar?month=april.2007#detail=4061,6.25%,6.25%,6.25%,Tue,Africa/Lagos
03/04/2007,23:30,AUD,yellow,AIG Services Index,https://www.forexfactory.com/calendar?month=april.2007#detail=4076,50.6,,54.5,Tue,Africa/Lagos
04/04/2007,03:00,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=april.2007#detail=9714,2.0%,,1.6%,Wed,Africa/Lagos
04/04/2007,07:15,EUR,yellow,Spanish Services PMI,https://www.forexfactory.com/calendar?month=april.2007#detail=43888,56.7,,56.7,Wed,Africa/Lagos
04/04/2007,07:45,EUR,yellow,Italian Services PMI,https://www.forexfactory.com/calendar?month=april.2007#detail=43438,54.1,56.4,56.2,Wed,Africa/Lagos
04/04/2007,08:00,EUR,yellow,Final Services PMI,https://www.forexfactory.com/calendar?month=april.2007#detail=4066,57.4,57.6,57.5,Wed,Africa/Lagos
