date,time,currency,impact,event,detail,actual,forecast,previous,day
02/03/2007,15:00,USD,orange,Revised UoM Consumer Sentiment,https://www.forexfactory.com/calendar?month=march.2007#detail=3722,91.3,94.0,93.3,Fri
02/03/2007,,USD,yellow,Revised UoM Inflation Expectations,https://www.forexfactory.com/calendar?month=march.2007#detail=9970,3.0%,,3.0%,Fri
03/03/2007,01:00,CNY,yellow,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=42298,49.7,,55.6,Sat
03/03/2007,04:00,USD,orange,Fed Chairman Bernanke Speaks,https://www.forexfactory.com/calendar?month=march.2007#detail=3758,,,,Sat
04/03/2007,22:30,AUD,yellow,AIG Services Index,https://www.forexfactory.com/calendar?month=march.2007#detail=10196,54.5,,49.5,Sun
04/03/2007,23:30,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=march.2007#detail=3818,0.2%,,0.0%,Sun
04/03/2007,23:50,JPY,orange,Capital Spending q/y,https://www.forexfactory.com/calendar?month=march.2007#detail=3842,16.8%,13.5%,12.0%,Sun
05/03/2007,00:30,AUD,yellow,Company Operating Profits q/q,https://www.forexfactory.com/calendar?month=march.2007#detail=3843,2.5%,2.4%,0.5%,Mon
05/03/2007,08:15,EUR,yellow,Spanish Services PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=43887,56.7,,57.9,Mon
05/03/2007,08:45,EUR,yellow,Italian Services PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=43437,56.2,55.6,55.4,Mon
05/03/2007,09:00,EUR,yellow,Final Services PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=3804,57.5,57.6,57.9,Mon
05/03/2007,09:30,EUR,yellow,Sentix Investor Confidence,https://www.forexfactory.com/calendar?month=march.2007#detail=11283,27.5,29.3,31.1,Mon
05/03/2007,,GBP,orange,Final Services PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=3797,57.4,59.0,59.2,Mon
05/03/2007,14:00,USD,orange,FOMC Member Kroszner Speaks,https://www.forexfactory.com/calendar?month=march.2007#detail=9191,,,,Mon
05/03/2007,15:00,CAD,red,Ivey PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=3789,60.5,55.2,53.8,Mon
05/03/2007,,USD,red,ISM Services PMI,https://www.forexfactory.com/calendar?month=march.2007#detail=3775,54.3,57.2,59.0,Mon
05/03/2007,19:00,USD,orange,FOMC Member Warsh Speaks,https://www.forexfactory.com/calendar?month=march.2007#detail=3823,,,,Mon
06/03/2007,00:30,AUD,red,Building Approvals m/m,https://www.forexfactory.com/calendar?month=march.2007#detail=3820,-0.9%,0.5%,-1.8%,Tue
06/03/2007,,AUD,orange,Goods Trade Balance,https://www.forexfactory.com/calendar?month=march.2007#detail=3819,-0.88B,-1.23B,-1.38,Tue
06/03/2007,06:45,CHF,orange,GDP q/q,https://www.forexfactory.com/calendar?month=march.2007#detail=3808,0.5%,0.7%,0.4%,Tue
06/03/2007,08:00,CHF,yellow,Foreign Currency Reserves,https://www.forexfactory.com/calendar?month=march.2007#detail=42189,45B,,45B,Tue
06/03/2007,10:00,EUR,yellow,Retail Sales m/m,https://www.forexfactory.com/calendar?month=march.2007#detail=3806,-1.0%,-0.3%,0.3%,Tue
