date,time,currency,impact,event,detail,actual,forecast,previous,day
02/02/2017,12:15,EUR,red,ECB President Draghi Speaks,https://www.forexfactory.com/calendar?month=february.2017#detail=70526,,,,Thu
02/02/2017,12:30,GBP,red,BOE Gov Carney Speaks,https://www.forexfactory.com/calendar?month=february.2017#detail=70517,,,,Thu
02/02/2017,,USD,yellow,Challenger Job Cuts y/y,https://www.forexfactory.com/calendar?month=february.2017#detail=67493,-38.8%,,42.4%,Thu
02/02/2017,13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=february.2017#detail=64232,246K,251K,260K,Thu
02/02/2017,,USD,orange,Prelim Nonfarm Productivity q/q,https://www.forexfactory.com/calendar?month=february.2017#detail=67184,1.3%,1.0%,3.1%,Thu
02/02/2017,,USD,orange,Prelim Unit Labor Costs q/q,https://www.forexfactory.com/calendar?month=february.2017#detail=67186,1.7%,2.3%,0.7%,Thu
02/02/2017,15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=february.2017#detail=64228,-87B,-82B,-119B,Thu
02/02/2017,22:30,AUD,yellow,AIG Services Index,https://www.forexfactory.com/calendar?month=february.2017#detail=68279,54.5,,57.7,Thu
02/02/2017,23:50,JPY,yellow,Monetary Policy Meeting Minutes,https://www.forexfactory.com/calendar?month=february.2017#detail=70549,,,,Thu
03/02/2017,00:00,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=65605,-0.1%,,0.7%,Fri
03/02/2017,01:45,CNY,red,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=70217,51.0,51.8,51.9,Fri
03/02/2017,08:15,EUR,yellow,Spanish Services PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64809,54.2,54.7,55.0,Fri
03/02/2017,08:45,EUR,yellow,Italian Services PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64810,52.4,52.6,52.3,Fri
03/02/2017,08:50,EUR,yellow,French Final Services PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64811,54.1,53.9,53.9,Fri
03/02/2017,08:55,EUR,yellow,German Final Services PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64812,53.4,53.2,53.2,Fri
03/02/2017,09:00,EUR,yellow,Final Services PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64813,53.7,53.6,53.6,Fri
03/02/2017,09:30,GBP,red,Final Services PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64814,54.5,55.8,56.2,Fri
03/02/2017,10:00,EUR,yellow,Italian Prelim CPI m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=65168,0.2%,0.2%,0.4%,Fri
03/02/2017,,EUR,yellow,Retail Sales m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=65980,-0.3%,0.3%,-0.6%,Fri
03/02/2017,13:30,USD,red,Average Hourly Earnings m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=64375,0.1%,0.3%,0.2%,Fri
03/02/2017,,USD,red,Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=february.2017#detail=64366,227K,170K,157K,Fri
03/02/2017,,USD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=february.2017#detail=64370,4.8%,4.7%,4.7%,Fri
03/02/2017,14:15,USD,orange,FOMC Member Evans Speaks,https://www.forexfactory.com/calendar?month=february.2017#detail=70520,,,,Fri
03/02/2017,14:45,USD,yellow,Final Services PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64815,55.6,55.1,55.1,Fri
03/02/2017,15:00,USD,red,ISM Services PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=64887,56.5,57.0,57.2,Fri
03/02/2017,,USD,orange,Factory Orders m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=66877,1.3%,1.5%,-2.3%,Fri
05/02/2017,All Day,NZD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=february.2017#detail=69629,,,,Sun
06/02/2017,00:00,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=68350,0.6%,,0.5%,Mon
06/02/2017,,JPY,yellow,Average Cash Earnings y/y,https://www.forexfactory.com/calendar?month=february.2017#detail=69493,0.1%,0.4%,0.5%,Mon
06/02/2017,00:30,AUD,red,Retail Sales m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=68171,-0.1%,0.3%,0.1%,Mon
06/02/2017,,AUD,yellow,ANZ Job Advertisements m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=65582,4.0%,,-2.2%,Mon
06/02/2017,01:45,CNY,orange,RatingDog Services PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=70204,53.1,53.6,53.4,Mon
06/02/2017,07:00,EUR,orange,German Factory Orders m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=66149,5.2%,0.6%,-3.6%,Mon
06/02/2017,09:10,EUR,yellow,Retail PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=66325,50.1,,50.4,Mon
06/02/2017,09:30,EUR,yellow,Sentix Investor Confidence,https://www.forexfactory.com/calendar?month=february.2017#detail=66337,17.4,16.7,18.2,Mon
06/02/2017,14:00,EUR,red,ECB President Draghi Speaks,https://www.forexfactory.com/calendar?month=february.2017#detail=70551,,,,Mon
06/02/2017,15:00,USD,yellow,Labor Market Conditions Index m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=67503,1.3,,0.6,Mon
06/02/2017,19:00,USD,yellow,Loan Officer Survey,https://www.forexfactory.com/calendar?month=february.2017#detail=64448,,,,Mon
06/02/2017,21:30,USD,orange,FOMC Member Harker Speaks,https://www.forexfactory.com/calendar?month=february.2017#detail=70550,,,,Mon
06/02/2017,22:30,AUD,yellow,AIG Construction Index,https://www.forexfactory.com/calendar?month=february.2017#detail=68228,47.7,,47.0,Mon
07/02/2017,00:01,GBP,yellow,BRC Retail Sales Monitor y/y,https://www.forexfactory.com/calendar?month=february.2017#detail=70529,-0.6%,,1.0%,Tue
