date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/01/2010,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2010#detail=29265,,,,Fri,Africa/Lagos
01/01/2010,All Day,JPY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2010#detail=28968,,,,Fri,Africa/Lagos
01/01/2010,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2010#detail=24828,56.6,55.4,55.2,Fri,Africa/Lagos
01/01/2010,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2010#detail=28969,,,,Fri,Africa/Lagos
01/01/2010,All Day,EUR,gray,French Bank Holiday,https://www.forexfactory.com/calendar?month=january.2010#detail=29224,,,,Fri,Africa/Lagos
01/01/2010,All Day,EUR,gray,German Bank Holiday,https://www.forexfactory.com/calendar?month=january.2010#detail=29225,,,,Fri,Africa/Lagos
01/01/2010,All Day,EUR,gray,Italian Bank Holiday,https://www.forexfactory.com/calendar?month=january.2010#detail=29226,,,,Fri,Africa/Lagos
01/01/2010,All Day,GBP,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2010#detail=28945,,,,Fri,Africa/Lagos
01/01/2010,All Day,CAD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2010#detail=28844,,,,Fri,Africa/Lagos
01/01/2010,All Day,USD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2010#detail=28935,,,,Fri,Africa/Lagos
03/01/2010,01:00,CNY,yellow,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2010#detail=42266,57.5,,52.3,Sun,Africa/Lagos
03/01/2010,15:15,USD,orange,FOMC Member Kohn Speaks,https://www.forexfactory.com/calendar?month=january.2010#detail=29483,,,,Sun,Africa/Lagos
03/01/2010,15:30,USD,red,Fed Chairman Bernanke Speaks,https://www.forexfactory.com/calendar?month=january.2010#detail=29484,,,,Sun,Africa/Lagos
03/01/2010,All Day,NZD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2010#detail=28841,,,,Sun,Africa/Lagos
03/01/2010,22:30,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=january.2010#detail=24572,48.5,,51.2,Sun,Africa/Lagos
04/01/2010,02:30,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2010#detail=24829,56.1,,55.7,Mon,Africa/Lagos
04/01/2010,05:30,AUD,orange,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=january.2010#detail=27157,-16.6%,,-24.4%,Mon,Africa/Lagos
04/01/2010,08:15,EUR,orange,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2010#detail=43825,45.2,,45.3,Mon,Africa/Lagos
04/01/2010,08:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2010#detail=24653,54.6,57.1,56.9,Mon,Africa/Lagos
04/01/2010,08:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2010#detail=43479,50.8,50.5,50.1,Mon,Africa/Lagos
04/01/2010,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2010#detail=58920,54.7,54.4,54.4,Mon,Africa/Lagos
04/01/2010,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2010#detail=58979,52.7,53.1,53.1,Mon,Africa/Lagos
04/01/2010,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2010#detail=24652,51.6,51.6,51.6,Mon,Africa/Lagos
04/01/2010,09:30,EUR,yellow,Sentix Investor Confidence,https://www.forexfactory.com/calendar?month=january.2010#detail=25082,-3.7,-3.4,-5.5,Mon,Africa/Lagos
04/01/2010,,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2010#detail=24511,54.1,52.1,51.8,Mon,Africa/Lagos
04/01/2010,,GBP,orange,Net Lending to Individuals m/m,https://www.forexfactory.com/calendar?month=january.2010#detail=28149,1.1B,0.6B,0.5B,Mon,Africa/Lagos
04/01/2010,,GBP,yellow,Mortgage Approvals,https://www.forexfactory.com/calendar?month=january.2010#detail=28148,61K,58K,58K,Mon,Africa/Lagos
04/01/2010,10:00,EUR,yellow,Italian Prelim CPI m/m,https://www.forexfactory.com/calendar?month=january.2010#detail=14393,0.2%,0.1%,0.1%,Mon,Africa/Lagos
04/01/2010,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2010#detail=24798,55.9,54.1,53.6,Mon,Africa/Lagos
