date,time,currency,impact,actual,forecast,previous,day,event,detail
04/09/2015,13:30,CAD,red,12.0K,-4.8K,6.6K,Fri,,
04/09/2015,,CAD,red,7.0%,6.8%,6.8%,Fri,,
04/09/2015,,CAD,orange,-0.6%,-0.7%,-0.5%,Fri,,
04/09/2015,,USD,red,0.3%,0.2%,0.2%,Fri,,
04/09/2015,,USD,red,173K,215K,245K,Fri,,
04/09/2015,,USD,red,5.1%,5.2%,5.3%,Fri,,
04/09/2015,15:00,CAD,red,58.0,53.5,52.9,Fri,,
05/09/2015,Day 2,All,red,,,,Sat,,
07/09/2015,00:30,AUD,yellow,53.8,,47.1,Mon,,
07/09/2015,02:30,AUD,orange,1.0%,,-0.5%,Mon,,
07/09/2015,06:00,JPY,yellow,104.9%,104.9%,106.5%,Mon,,
07/09/2015,07:00,EUR,yellow,0.7%,1.2%,-0.9%,Mon,,
07/09/2015,08:00,CHF,orange,540B,,531B,Mon,,
07/09/2015,09:30,EUR,yellow,13.6,16.2,18.4,Mon,,
07/09/2015,All Day,CAD,gray,,,,Mon,,
07/09/2015,All Day,USD,gray,,,,Mon,,
07/09/2015,23:45,NZD,yellow,0.4%,,-2.6%,Mon,,
08/09/2015,00:01,GBP,yellow,-1.0%,,1.2%,Tue,,
08/09/2015,00:50,JPY,orange,1.32T,1.25T,1.30T,Tue,,
08/09/2015,,JPY,orange,-0.3%,-0.4%,-0.4%,Tue,,
08/09/2015,,JPY,yellow,2.7%,,2.6%,Tue,,
08/09/2015,,JPY,yellow,1.5%,1.6%,1.6%,Tue,,
08/09/2015,02:30,AUD,red,1,,4,Tue,,
08/09/2015,03:33,CNY,red,368B,348B,263B,Tue,,
08/09/2015,04:04,CNY,yellow,60.2B,48.6B,43.0B,Tue,,
08/09/2015,04:45,JPY,yellow,1.41|3.1,,1.44|3.3,Tue,,
08/09/2015,06:00,JPY,yellow,49.3,52.1,51.6,Tue,,
08/09/2015,06:45,CHF,yellow,3.3%,3.3%,3.3%,Tue,,
08/09/2015,07:00,EUR,yellow,22.8B,21.8B,22.1B,Tue,,
08/09/2015,07:45,EUR,yellow,-79.8B,,-58.5B,Tue,,
08/09/2015,,EUR,yellow,-3.3B,-3.2B,-2.8B,Tue,,
08/09/2015,10:00,EUR,yellow,0.4%,0.3%,0.3%,Tue,,
08/09/2015,10:34,GBP,yellow,2.45|1.4,,2.73|1.9,Tue,,
08/09/2015,11:00,USD,yellow,95.9,96.0,95.4,Tue,,
08/09/2015,15:07,USD,yellow,2.1,,1.8,Tue,,
08/09/2015,20:13,USD,yellow,19.1B,18.4B,27.0B,Tue,,
09/09/2015,00:01,GBP,yellow,-1.4%,,-1.4%,Wed,,
09/09/2015,00:50,JPY,yellow,4.2%,4.1%,4.0%,Wed,,
09/09/2015,01:30,AUD,orange,-5.6%,,7.8%,Wed,,
09/09/2015,02:30,AUD,orange,0.3%,0.8%,4.8%,Wed,,
09/09/2015,04:10,AUD,orange,,,,Wed,,
09/09/2015,06:00,JPY,yellow,41.7,40.6,40.3,Wed,,
09/09/2015,06:59,JPY,yellow,-16.5%,,1.7%,Wed,,
