date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/01/2015,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2015#detail=58664,,,,Thu,Africa/Lagos
01/01/2015,All Day,JPY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2015#detail=58414,,,,Thu,Africa/Lagos
01/01/2015,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2015#detail=54666,50.1,50.0,50.3,Thu,Africa/Lagos
01/01/2015,01:09,CNY,orange,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2015#detail=54679,54.1,,53.9,Thu,Africa/Lagos
01/01/2015,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2015#detail=58437,,,,Thu,Africa/Lagos
01/01/2015,All Day,EUR,gray,Italian Bank Holiday,https://www.forexfactory.com/calendar?month=january.2015#detail=58631,,,,Thu,Africa/Lagos
01/01/2015,All Day,EUR,gray,French Bank Holiday,https://www.forexfactory.com/calendar?month=january.2015#detail=58632,,,,Thu,Africa/Lagos
01/01/2015,All Day,EUR,gray,German Bank Holiday,https://www.forexfactory.com/calendar?month=january.2015#detail=58633,,,,Thu,Africa/Lagos
01/01/2015,All Day,GBP,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2015#detail=58405,,,,Thu,Africa/Lagos
01/01/2015,All Day,CAD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2015#detail=58375,,,,Thu,Africa/Lagos
01/01/2015,All Day,USD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2015#detail=58395,,,,Thu,Africa/Lagos
01/01/2015,All Day,NZD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2015#detail=58386,,,,Thu,Africa/Lagos
02/01/2015,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2015#detail=58665,,,,Fri,Africa/Lagos
02/01/2015,All Day,JPY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2015#detail=58415,,,,Fri,Africa/Lagos
02/01/2015,05:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=january.2015#detail=54901,-21.2%,,-18.4%,Fri,Africa/Lagos
02/01/2015,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2015#detail=58438,,,,Fri,Africa/Lagos
02/01/2015,08:15,EUR,orange,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2015#detail=55333,53.8,54.9,54.7,Fri,Africa/Lagos
02/01/2015,08:45,EUR,orange,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2015#detail=55334,48.4,49.6,49.0,Fri,Africa/Lagos
02/01/2015,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2015#detail=59062,47.5,47.9,47.9,Fri,Africa/Lagos
02/01/2015,08:55,EUR,orange,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2015#detail=59065,51.2,51.2,51.2,Fri,Africa/Lagos
02/01/2015,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2015#detail=55335,50.6,50.8,50.8,Fri,Africa/Lagos
02/01/2015,09:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2015#detail=55332,52.5,53.7,53.3,Fri,Africa/Lagos
02/01/2015,,GBP,orange,Net Lending to Individuals m/m,https://www.forexfactory.com/calendar?month=january.2015#detail=51613,3.3B,2.5B,2.7B,Fri,Africa/Lagos
02/01/2015,,GBP,yellow,M4 Money Supply m/m,https://www.forexfactory.com/calendar?month=january.2015#detail=51840,0.0%,0.2%,0.0%,Fri,Africa/Lagos
02/01/2015,,GBP,yellow,Mortgage Approvals,https://www.forexfactory.com/calendar?month=january.2015#detail=51843,59K,59K,60K,Fri,Africa/Lagos
02/01/2015,14:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2015#detail=59551,53.9,,55.3,Fri,Africa/Lagos
02/01/2015,14:45,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2015#detail=55347,53.9,54.1,53.7,Fri,Africa/Lagos
02/01/2015,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2015#detail=57996,55.5,57.6,58.7,Fri,Africa/Lagos
02/01/2015,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=january.2015#detail=57696,-0.3%,0.4%,1.2%,Fri,Africa/Lagos
02/01/2015,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=january.2015#detail=58002,38.5,43.1,44.5,Fri,Africa/Lagos
