date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/10/2011,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2011#detail=35064,51.2,51.2,50.9,Sat,Africa/Lagos
01/10/2011,16:00,AUD,gray,Daylight Saving Time Shift,https://www.forexfactory.com/calendar?month=october.2011#detail=32696,,,,Sat,Africa/Lagos
02/10/2011,All Day,AUD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=october.2011#detail=35696,,,,Sun,Africa/Lagos
02/10/2011,22:25,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=october.2011#detail=33026,42.3,,43.3,Sun,Africa/Lagos
02/10/2011,23:30,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=october.2011#detail=34514,0.1%,,-0.1%,Sun,Africa/Lagos
02/10/2011,23:50,JPY,red,Tankan Manufacturing Index,https://www.forexfactory.com/calendar?month=october.2011#detail=33603,2,2,-9,Sun,Africa/Lagos
02/10/2011,,JPY,orange,Tankan Non-Manufacturing Index,https://www.forexfactory.com/calendar?month=october.2011#detail=33604,1,3,-5,Sun,Africa/Lagos
03/10/2011,00:00,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=october.2011#detail=34329,-1.3%,,-1.4%,Mon,Africa/Lagos
03/10/2011,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=october.2011#detail=37078,,,,Mon,Africa/Lagos
03/10/2011,01:00,CNY,yellow,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2011#detail=42250,59.3,,57.6,Mon,Africa/Lagos
03/10/2011,02:30,CNY,yellow,RatingDog Services PMI,https://www.forexfactory.com/calendar?month=october.2011#detail=54019,53.0,,50.6,Mon,Africa/Lagos
03/10/2011,All Day,EUR,gray,German Bank Holiday,https://www.forexfactory.com/calendar?month=october.2011#detail=37011,,,,Mon,Africa/Lagos
03/10/2011,07:15,CHF,red,Retail Sales y/y,https://www.forexfactory.com/calendar?month=october.2011#detail=36658,-1.9%,4.5%,2.9%,Mon,Africa/Lagos
03/10/2011,,EUR,orange,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2011#detail=43846,43.7,,45.3,Mon,Africa/Lagos
03/10/2011,07:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2011#detail=35076,48.2,50.3,51.7,Mon,Africa/Lagos
03/10/2011,07:45,EUR,orange,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2011#detail=43500,48.3,46.5,47.0,Mon,Africa/Lagos
03/10/2011,07:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2011#detail=58941,48.2,47.3,47.3,Mon,Africa/Lagos
03/10/2011,07:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2011#detail=58999,50.3,50.0,50.0,Mon,Africa/Lagos
03/10/2011,08:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2011#detail=33219,48.5,48.4,48.4,Mon,Africa/Lagos
03/10/2011,All Day,EUR,orange,Eurogroup Meetings,https://www.forexfactory.com/calendar?month=october.2011#detail=44083,,,,Mon,Africa/Lagos
03/10/2011,08:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2011#detail=33163,51.1,48.9,49.4,Mon,Africa/Lagos
03/10/2011,,GBP,yellow,FPC Meeting Minutes,https://www.forexfactory.com/calendar?month=october.2011#detail=57076,,,,Mon,Africa/Lagos
03/10/2011,13:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2011#detail=59512,55.0,,54.9,Mon,Africa/Lagos
03/10/2011,14:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=october.2011#detail=32992,51.6,50.5,50.6,Mon,Africa/Lagos
03/10/2011,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=october.2011#detail=34114,1.4%,-0.1%,-1.4%,Mon,Africa/Lagos
