date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/03/2023,01:01,GBP,yellow,BRC Shop Price Index y/y,https://www.forexfactory.com/calendar?month=march.2023#detail=133369,8.4%,,8.0%,Wed,Africa/Lagos
01/03/2023,01:30,AUD,red,CPI y/y,https://www.forexfactory.com/calendar?month=march.2023#detail=132781,7.4%,8.1%,8.4%,Wed,Africa/Lagos
01/03/2023,01:30,AUD,orange,GDP q/q,https://www.forexfactory.com/calendar?month=march.2023#detail=131006,0.5%,0.8%,0.7%,Wed,Africa/Lagos
01/03/2023,01:30,JPY,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2023#detail=128807,47.7,47.4,47.4,Wed,Africa/Lagos
01/03/2023,02:30,CNY,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2023#detail=131445,52.6,50.7,50.1,Wed,Africa/Lagos
01/03/2023,02:30,CNY,yellow,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2023#detail=131446,56.3,55.0,54.4,Wed,Africa/Lagos
01/03/2023,02:45,CNY,yellow,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2023#detail=131473,51.6,50.7,49.2,Wed,Africa/Lagos
01/03/2023,06:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=march.2023#detail=130616,3.6%,,11.0%,Wed,Africa/Lagos
01/03/2023,08:00,GBP,yellow,Nationwide HPI m/m,https://www.forexfactory.com/calendar?month=march.2023#detail=133309,-0.5%,-0.5%,-0.6%,Wed,Africa/Lagos
01/03/2023,All Day,EUR,yellow,German Prelim CPI m/m,https://www.forexfactory.com/calendar?month=march.2023#detail=131772,0.8%,0.5%,1.0%,Wed,Africa/Lagos
01/03/2023,08:30,CHF,yellow,Retail Sales y/y,https://www.forexfactory.com/calendar?month=march.2023#detail=131368,-2.2%,-2.2%,-3.0%,Wed,Africa/Lagos
01/03/2023,09:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2023#detail=129089,50.7,49.1,48.4,Wed,Africa/Lagos
01/03/2023,09:30,CHF,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2023#detail=129110,48.9,50.4,49.3,Wed,Africa/Lagos
01/03/2023,09:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2023#detail=129077,52.0,50.9,50.4,Wed,Africa/Lagos
01/03/2023,09:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2023#detail=129113,47.4,47.9,47.9,Wed,Africa/Lagos
01/03/2023,09:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2023#detail=129137,46.3,46.5,46.5,Wed,Africa/Lagos
01/03/2023,09:55,EUR,yellow,German Unemployment Change,https://www.forexfactory.com/calendar?month=march.2023#detail=131732,2K,-9K,-11K,Wed,Africa/Lagos
01/03/2023,10:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2023#detail=129125,48.5,48.5,48.5,Wed,Africa/Lagos
01/03/2023,10:30,GBP,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2023#detail=129149,49.3,49.2,49.2,Wed,Africa/Lagos
01/03/2023,10:30,GBP,yellow,M4 Money Supply m/m,https://www.forexfactory.com/calendar?month=march.2023#detail=133200,1.3%,-0.9%,-0.9%,Wed,Africa/Lagos
01/03/2023,10:30,GBP,yellow,Mortgage Approvals,https://www.forexfactory.com/calendar?month=march.2023#detail=133201,40K,37K,41K,Wed,Africa/Lagos
01/03/2023,10:30,GBP,yellow,Net Lending to Individuals m/m,https://www.forexfactory.com/calendar?month=march.2023#detail=133202,4.1B,4.6B,3.9B,Wed,Africa/Lagos
01/03/2023,11:00,EUR,yellow,German Buba President Nagel Speaks,https://www.forexfactory.com/calendar?month=march.2023#detail=133906,,,,Wed,Africa/Lagos
01/03/2023,11:00,GBP,red,BOE Gov Bailey Speaks,https://www.forexfactory.com/calendar?month=march.2023#detail=133907,,,,Wed,Africa/Lagos
01/03/2023,15:00,USD,yellow,FOMC Member Kashkari Speaks,https://www.forexfactory.com/calendar?month=march.2023#detail=133915,,,,Wed,Africa/Lagos
01/03/2023,15:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=march.2023#detail=130453,52.4,,51.0,Wed,Africa/Lagos
