date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
02/06/2019,All Day,NZD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=june.2019#detail=107205,,,,Sun,Africa/Lagos
02/06/2019,22:30,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=june.2019#detail=103855,52.7,,54.8,Sun,Africa/Lagos
02/06/2019,23:50,JPY,yellow,Capital Spending q/y,https://www.forexfactory.com/calendar?month=june.2019#detail=106727,6.1%,2.6%,5.7%,Sun,Africa/Lagos
03/06/2019,00:30,JPY,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2019#detail=106981,49.8,49.7,49.6,Mon,Africa/Lagos
03/06/2019,01:30,AUD,orange,Company Operating Profits q/q,https://www.forexfactory.com/calendar?month=june.2019#detail=104119,1.7%,2.9%,2.8%,Mon,Africa/Lagos
03/06/2019,01:30,AUD,yellow,ANZ Job Advertisements m/m,https://www.forexfactory.com/calendar?month=june.2019#detail=104054,-8.4%,,0.2%,Mon,Africa/Lagos
03/06/2019,01:33,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=june.2019#detail=104263,0.0%,,0.2%,Mon,Africa/Lagos
03/06/2019,01:45,CNY,red,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2019#detail=107976,50.2,50.0,50.2,Mon,Africa/Lagos
03/06/2019,06:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=june.2019#detail=104238,12.6%,,15.1%,Mon,Africa/Lagos
03/06/2019,06:30,CHF,yellow,CPI m/m,https://www.forexfactory.com/calendar?month=june.2019#detail=105048,0.3%,0.3%,0.2%,Mon,Africa/Lagos
03/06/2019,07:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2019#detail=100323,50.1,51.4,51.8,Mon,Africa/Lagos
03/06/2019,07:30,CHF,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2019#detail=104893,48.6,49.1,48.5,Mon,Africa/Lagos
03/06/2019,07:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2019#detail=100324,49.7,48.5,49.1,Mon,Africa/Lagos
03/06/2019,07:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2019#detail=100326,50.6,50.6,50.6,Mon,Africa/Lagos
03/06/2019,07:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2019#detail=100325,44.3,44.3,44.3,Mon,Africa/Lagos
03/06/2019,08:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2019#detail=100328,47.7,47.7,47.7,Mon,Africa/Lagos
03/06/2019,08:30,GBP,orange,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2019#detail=100321,49.4,52.5,53.1,Mon,Africa/Lagos
03/06/2019,13:10,USD,orange,FOMC Member Quarles Speaks,https://www.forexfactory.com/calendar?month=june.2019#detail=110393,,,,Mon,Africa/Lagos
03/06/2019,13:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2019#detail=105381,49.1,,49.7,Mon,Africa/Lagos
03/06/2019,13:45,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2019#detail=100319,50.5,50.8,50.6,Mon,Africa/Lagos
03/06/2019,14:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2019#detail=102149,52.1,53.0,52.8,Mon,Africa/Lagos
03/06/2019,14:00,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=june.2019#detail=102706,0.0%,0.5%,0.1%,Mon,Africa/Lagos
