date,time,currency,impact,event,detail,actual,forecast,previous,day
01/08/2014,00:59,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2014#detail=50485,51.7,51.4,51.0,Fri
01/08/2014,01:30,AUD,red,PPI q/q,https://www.forexfactory.com/calendar?month=august.2014#detail=50689,-0.1%,0.7%,0.9%,Fri
01/08/2014,01:35,JPY,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2014#detail=51364,50.5,50.8,50.8,Fri
01/08/2014,01:45,CNY,red,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2014#detail=50469,51.7,52.0,52.0,Fri
01/08/2014,03:30,JPY,red,BOJ Gov Kuroda Speaks,https://www.forexfactory.com/calendar?month=august.2014#detail=54272,,,,Fri
01/08/2014,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=august.2014#detail=53422,,,,Fri
01/08/2014,06:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=august.2014#detail=50670,-12.1%,,-11.0%,Fri
01/08/2014,07:15,EUR,orange,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2014#detail=50253,53.9,54.8,54.6,Fri
01/08/2014,07:45,EUR,orange,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2014#detail=50254,51.9,52.8,52.6,Fri
01/08/2014,07:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2014#detail=59051,47.8,47.6,47.6,Fri
01/08/2014,07:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2014#detail=59053,52.4,52.9,52.9,Fri
01/08/2014,08:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2014#detail=50252,51.8,51.9,51.9,Fri
01/08/2014,08:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=august.2014#detail=50251,55.4,57.2,57.2,Fri
01/08/2014,12:30,USD,red,Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=august.2014#detail=49448,209K,231K,298K,Fri
01/08/2014,,USD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=august.2014#detail=49449,6.2%,6.1%,6.1%,Fri
01/08/2014,,USD,orange,Average Hourly Earnings m/m,https://www.forexfactory.com/calendar?month=august.2014#detail=49447,0.0%,0.2%,0.2%,Fri
01/08/2014,,USD,orange,Core PCE Price Index m/m,https://www.forexfactory.com/calendar?month=august.2014#detail=52556,0.1%,0.2%,0.2%,Fri
01/08/2014,,USD,orange,Personal Spending m/m,https://www.forexfactory.com/calendar?month=august.2014#detail=52558,0.4%,0.5%,0.3%,Fri
