date,time,currency,impact,event,detail,actual,forecast,previous,day
01/06/2009,01:30,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=june.2009#detail=13102,-0.3%,,0.0%,Mon
01/06/2009,01:40,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2009#detail=18437,53.1,,53.5,Mon
01/06/2009,02:02,AUD,orange,HIA New Home Sales m/m,https://www.forexfactory.com/calendar?month=june.2009#detail=14480,0.5%,,4.2%,Mon
01/06/2009,02:30,AUD,red,Retail Sales m/m,https://www.forexfactory.com/calendar?month=june.2009#detail=12722,0.3%,0.5%,2.2%,Mon
01/06/2009,,AUD,yellow,Company Operating Profits q/q,https://www.forexfactory.com/calendar?month=june.2009#detail=12392,-7.2%,-4.5%,-8.0%,Mon
01/06/2009,,JPY,orange,Average Cash Earnings y/y,https://www.forexfactory.com/calendar?month=june.2009#detail=14571,-2.5%,-4.2%,-3.9%,Mon
01/06/2009,03:30,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2009#detail=18429,51.2,,50.1,Mon
01/06/2009,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=june.2009#detail=21530,,,,Mon
01/06/2009,All Day,EUR,gray,German Bank Holiday,https://www.forexfactory.com/calendar?month=june.2009#detail=14760,,,,Mon
01/06/2009,All Day,EUR,gray,French Bank Holiday,https://www.forexfactory.com/calendar?month=june.2009#detail=14784,,,,Mon
01/06/2009,07:30,AUD,orange,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=june.2009#detail=14059,-23.3%,,-16.1%,Mon
01/06/2009,08:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2009#detail=43818,39.8,,34.6,Mon
01/06/2009,08:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2009#detail=43472,41.1,39.6,37.2,Mon
01/06/2009,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2009#detail=58853,43.3,43.3,43.1,Mon
01/06/2009,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2009#detail=58971,39.6,39.1,39.1,Mon
01/06/2009,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2009#detail=10930,40.7,40.5,40.5,Mon
01/06/2009,09:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2009#detail=10872,45.4,44.1,43.1,Mon
01/06/2009,13:30,CAD,red,GDP m/m,https://www.forexfactory.com/calendar?month=june.2009#detail=12763,-0.3%,-0.3%,-0.1%,Mon
01/06/2009,,CAD,orange,RMPI m/m,https://www.forexfactory.com/calendar?month=june.2009#detail=12782,-0.5%,6.2%,12.1%,Mon
01/06/2009,,CAD,yellow,IPPI m/m,https://www.forexfactory.com/calendar?month=june.2009#detail=12781,-0.5%,0.2%,0.3%,Mon
01/06/2009,,USD,orange,Core PCE Price Index m/m,https://www.forexfactory.com/calendar?month=june.2009#detail=11459,0.3%,0.2%,0.2%,Mon
01/06/2009,,USD,orange,Personal Spending m/m,https://www.forexfactory.com/calendar?month=june.2009#detail=11460,-0.1%,-0.2%,-0.3%,Mon
01/06/2009,,USD,yellow,Personal Income m/m,https://www.forexfactory.com/calendar?month=june.2009#detail=11443,0.5%,-0.2%,-0.2%,Mon
01/06/2009,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2009#detail=10775,42.8,42.2,40.1,Mon
01/06/2009,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=june.2009#detail=11120,0.8%,-1.6%,0.4%,Mon
01/06/2009,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=june.2009#detail=10776,43.5,35.2,32.0,Mon
