date,time,currency,impact,event,detail,actual,forecast,previous,day
02/07/2013,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=july.2013#detail=46462,16.0M,15.3M,15.3M,Tue
02/07/2013,17:30,USD,orange,FOMC Member Dudley Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49368,,,,Tue
02/07/2013,22:45,USD,orange,FOMC Member Powell Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49369,,,,Tue
03/07/2013,00:01,GBP,yellow,BRC Shop Price Index y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=46115,-0.2%,,-0.1%,Wed
03/07/2013,00:30,AUD,yellow,AIG Services Index,https://www.forexfactory.com/calendar?month=july.2013#detail=44274,41.5,,40.6,Wed
03/07/2013,01:57,CNY,orange,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=44778,53.9,,54.3,Wed
03/07/2013,02:00,AUD,orange,HIA New Home Sales m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=44353,1.6%,,3.9%,Wed
03/07/2013,02:30,AUD,red,Goods Trade Balance,https://www.forexfactory.com/calendar?month=july.2013#detail=44542,0.67B,0.05B,0.17B,Wed
03/07/2013,,AUD,red,Retail Sales m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=44541,0.1%,0.4%,-0.1%,Wed
03/07/2013,02:45,CNY,orange,RatingDog Services PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=54040,51.3,,51.2,Wed
03/07/2013,03:55,AUD,red,RBA Gov Stevens Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49375,,,,Wed
03/07/2013,08:15,EUR,orange,Spanish Services PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=47262,47.8,47.8,47.3,Wed
03/07/2013,08:45,EUR,orange,Italian Services PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=47257,45.8,47.1,46.5,Wed
03/07/2013,08:50,EUR,yellow,French Final Services PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=59206,47.2,46.5,46.5,Wed
03/07/2013,08:55,EUR,yellow,German Final Services PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=59218,50.4,51.3,51.3,Wed
03/07/2013,09:00,EUR,yellow,Final Services PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=47253,48.3,48.6,48.6,Wed
03/07/2013,09:30,GBP,red,Final Services PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=45832,56.9,54.6,54.9,Wed
03/07/2013,,GBP,orange,BOE Credit Conditions Survey,https://www.forexfactory.com/calendar?month=july.2013#detail=45987,,,,Wed
03/07/2013,,GBP,yellow,Housing Equity Withdrawal q/q,https://www.forexfactory.com/calendar?month=july.2013#detail=49378,-8.8B,-8.5B,-8.3B,Wed
03/07/2013,10:00,EUR,orange,Retail Sales m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46896,1.0%,0.4%,-0.2%,Wed
03/07/2013,12:30,USD,yellow,Challenger Job Cuts y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=45685,4.8%,,-41.2%,Wed
03/07/2013,13:15,USD,red,ADP Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=july.2013#detail=45684,188K,161K,134K,Wed
03/07/2013,13:30,CAD,red,Trade Balance,https://www.forexfactory.com/calendar?month=july.2013#detail=47923,-0.3B,-0.7B,-1.0B,Wed
03/07/2013,,USD,red,Trade Balance,https://www.forexfactory.com/calendar?month=july.2013#detail=46296,-45.0B,-40.3B,-40.1B,Wed
03/07/2013,,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=july.2013#detail=45506,343K,345K,348K,Wed
03/07/2013,15:00,USD,red,ISM Services PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=46752,52.2,54.3,53.7,Wed
03/07/2013,,USD,orange,Treasury Sec Lew Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49370,,,,Wed
03/07/2013,15:30,USD,orange,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=july.2013#detail=45609,-10.3M,-2.6M,0.0M,Wed
03/07/2013,17:00,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=july.2013#detail=45558,72B,75B,95B,Wed
04/07/2013,01:30,JPY,red,BOJ Gov Kuroda Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49366,,,,Thu
04/07/2013,02:30,AUD,red,Building Approvals m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=44354,-1.1%,-0.9%,9.5%,Thu
04/07/2013,03:30,AUD,orange,RBA Deputy Gov Lowe Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49376,,,,Thu
04/07/2013,04:45,JPY,yellow,30-y Bond Auction,https://www.forexfactory.com/calendar?month=july.2013#detail=49102,1.89|4.0,,1.87|4.1,Thu
04/07/2013,08:00,GBP,orange,Halifax HPI m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=45949,0.6%,0.4%,0.5%,Thu
04/07/2013,09:57,EUR,orange,French 10-y Bond Auction,https://www.forexfactory.com/calendar?month=july.2013#detail=49367,2.32|1.7,,2.04|1.6,Thu
04/07/2013,10:00,EUR,yellow,Final GDP q/q,https://www.forexfactory.com/calendar?month=july.2013#detail=46932,-0.3%,-0.2%,-0.2%,Thu
04/07/2013,12:00,GBP,red,Asset Purchase Facility,https://www.forexfactory.com/calendar?month=july.2013#detail=45740,375B,375B,375B,Thu
04/07/2013,,GBP,red,MPC Rate Statement,https://www.forexfactory.com/calendar?month=july.2013#detail=45741,,,,Thu
04/07/2013,,GBP,red,Official Bank Rate,https://www.forexfactory.com/calendar?month=july.2013#detail=45742,0.50%,0.50%,0.50%,Thu
04/07/2013,12:45,EUR,red,Main Refinancing Rate,https://www.forexfactory.com/calendar?month=july.2013#detail=45709,0.50%,0.50%,0.50%,Thu
04/07/2013,All Day,USD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=july.2013#detail=48179,,,,Thu
04/07/2013,13:30,EUR,red,ECB Press Conference,https://www.forexfactory.com/calendar?month=july.2013#detail=45708,,,,Thu
05/07/2013,00:30,AUD,yellow,AIG Construction Index,https://www.forexfactory.com/calendar?month=july.2013#detail=44275,39.5,,35.3,Fri
05/07/2013,06:00,JPY,yellow,Leading Indicators,https://www.forexfactory.com/calendar?month=july.2013#detail=45220,110.5%,96.3%,107.7%,Fri
05/07/2013,07:45,EUR,yellow,French Trade Balance,https://www.forexfactory.com/calendar?month=july.2013#detail=47003,-6.0B,-4.5B,-4.5B,Fri
05/07/2013,08:00,CHF,orange,Foreign Currency Reserves,https://www.forexfactory.com/calendar?month=july.2013#detail=45340,435B,,441B,Fri
05/07/2013,08:15,CHF,red,CPI m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=45384,0.1%,-0.1%,0.1%,Fri
05/07/2013,11:00,EUR,orange,German Factory Orders m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=47051,-1.3%,1.3%,-2.2%,Fri
05/07/2013,13:30,CAD,red,Employment Change,https://www.forexfactory.com/calendar?month=july.2013#detail=47841,-0.4K,-4.2K,95.0K,Fri
05/07/2013,,CAD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=july.2013#detail=47843,7.1%,7.1%,7.1%,Fri
05/07/2013,,USD,red,Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=july.2013#detail=45656,195K,163K,195K,Fri
05/07/2013,,USD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=july.2013#detail=45654,7.6%,7.5%,7.6%,Fri
05/07/2013,,USD,orange,Average Hourly Earnings m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=45655,0.4%,0.2%,0.1%,Fri
05/07/2013,15:00,CAD,red,Ivey PMI,https://www.forexfactory.com/calendar?month=july.2013#detail=46796,55.3,59.6,63.1,Fri
07/07/2013,09:30,EUR,orange,German Buba President Weidmann Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49382,,,,Sun
07/07/2013,23:50,JPY,red,Current Account,https://www.forexfactory.com/calendar?month=july.2013#detail=45184,0.62T,0.62T,0.85T,Sun
07/07/2013,,JPY,yellow,Bank Lending y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=45172,1.9%,,1.8%,Sun
08/07/2013,01:30,AUD,orange,ANZ Job Advertisements m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=44420,-1.8%,,-2.5%,Mon
08/07/2013,02:35,NZD,orange,REINZ HPI m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=44618,0.0%,,0.7%,Mon
08/07/2013,05:00,JPY,yellow,Economy Watchers Sentiment,https://www.forexfactory.com/calendar?month=july.2013#detail=45065,53.0,55.6,55.7,Mon
08/07/2013,05:45,CHF,yellow,Unemployment Rate,https://www.forexfactory.com/calendar?month=july.2013#detail=45456,3.2%,3.2%,3.2%,Mon
08/07/2013,06:00,EUR,orange,German Trade Balance,https://www.forexfactory.com/calendar?month=july.2013#detail=47016,14.1B,17.4B,17.5B,Mon
08/07/2013,08:30,EUR,yellow,Sentix Investor Confidence,https://www.forexfactory.com/calendar?month=july.2013#detail=47725,-12.6,-11.5,-11.6,Mon
08/07/2013,All Day,EUR,red,Eurogroup Meetings,https://www.forexfactory.com/calendar?month=july.2013#detail=49374,,,,Mon
08/07/2013,10:00,EUR,orange,German Industrial Production m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=47039,-1.0%,-0.5%,2.0%,Mon
08/07/2013,12:30,CAD,red,Building Permits m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=47952,4.5%,2.6%,11.2%,Mon
08/07/2013,,EUR,red,ECB President Draghi Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49387,,,,Mon
08/07/2013,13:30,EUR,red,ECB President Draghi Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49391,,,,Mon
08/07/2013,14:30,CAD,orange,BOC Business Outlook Survey,https://www.forexfactory.com/calendar?month=july.2013#detail=46809,,,,Mon
08/07/2013,19:00,USD,yellow,Consumer Credit m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46326,19.6B,13.2B,10.9B,Mon
08/07/2013,22:00,NZD,red,NZIER Business Confidence,https://www.forexfactory.com/calendar?month=july.2013#detail=44599,32,,23,Mon
08/07/2013,23:01,GBP,orange,BRC Retail Sales Monitor y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=46139,1.4%,,1.8%,Mon
08/07/2013,,GBP,yellow,RICS House Price Balance,https://www.forexfactory.com/calendar?month=july.2013#detail=45885,21%,9%,5%,Mon
08/07/2013,23:50,JPY,yellow,M2 Money Stock y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=45000,3.8%,3.4%,3.5%,Mon
09/07/2013,01:30,AUD,orange,NAB Business Confidence,https://www.forexfactory.com/calendar?month=july.2013#detail=44297,0,,-1,Tue
09/07/2013,,CNY,red,CPI y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=44808,2.7%,2.5%,2.1%,Tue
09/07/2013,,CNY,orange,PPI y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=44809,-2.7%,-2.5%,-2.9%,Tue
09/07/2013,06:00,JPY,yellow,Prelim Machine Tool Orders y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=45268,-12.4%,,-7.4%,Tue
09/07/2013,06:45,EUR,yellow,French Gov Budget Balance,https://www.forexfactory.com/calendar?month=july.2013#detail=47474,-72.6B,,-66.8B,Tue
09/07/2013,07:15,CHF,orange,Retail Sales y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=45408,1.8%,3.7%,3.1%,Tue
09/07/2013,08:30,GBP,red,Manufacturing Production m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46176,-0.8%,0.3%,-0.2%,Tue
09/07/2013,,GBP,orange,Goods Trade Balance,https://www.forexfactory.com/calendar?month=july.2013#detail=46127,-8.5B,-8.4B,-8.4B,Tue
09/07/2013,,GBP,yellow,Industrial Production m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46164,0.0%,0.3%,-0.1%,Tue
09/07/2013,All Day,EUR,orange,ECOFIN Meetings,https://www.forexfactory.com/calendar?month=july.2013#detail=49373,,,,Tue
09/07/2013,11:30,USD,yellow,NFIB Small Business Index,https://www.forexfactory.com/calendar?month=july.2013#detail=48416,93.5,96.2,94.4,Tue
09/07/2013,12:13,CAD,yellow,Housing Starts,https://www.forexfactory.com/calendar?month=july.2013#detail=46817,200K,189K,205K,Tue
09/07/2013,14:00,GBP,orange,NIESR GDP Estimate,https://www.forexfactory.com/calendar?month=july.2013#detail=46212,0.6%,,0.6%,Tue
09/07/2013,,USD,orange,JOLTS Job Openings,https://www.forexfactory.com/calendar?month=july.2013#detail=49348,3.83M,3.81M,3.80M,Tue
09/07/2013,23:50,JPY,orange,Tertiary Industry Activity m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=45292,1.2%,0.9%,-0.5%,Tue
09/07/2013,,JPY,yellow,PPI y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=45147,1.2%,1.2%,0.5%,Tue
10/07/2013,00:30,AUD,red,Westpac Consumer Sentiment,https://www.forexfactory.com/calendar?month=july.2013#detail=44319,-0.1%,,4.7%,Wed
10/07/2013,02:00,CNY,red,USD-Denominated Trade Balance,https://www.forexfactory.com/calendar?month=july.2013#detail=44900,27.1B,27.8B,20.4B,Wed
10/07/2013,05:00,JPY,yellow,Consumer Confidence,https://www.forexfactory.com/calendar?month=july.2013#detail=45053,44.3,47.2,45.7,Wed
10/07/2013,06:00,EUR,yellow,German Final CPI m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=47393,0.1%,0.1%,0.1%,Wed
10/07/2013,06:45,EUR,orange,French Industrial Production m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46991,-0.4%,-0.5%,2.2%,Wed
10/07/2013,07:40,AUD,orange,RBA Deputy Gov Debelle Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49388,,,,Wed
10/07/2013,08:00,EUR,yellow,Italian Industrial Production m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=47105,0.1%,0.4%,-0.3%,Wed
10/07/2013,14:00,USD,yellow,Final Wholesale Inventories m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46272,-0.5%,0.3%,-0.1%,Wed
10/07/2013,14:30,USD,orange,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=july.2013#detail=45610,-9.9M,-2.9M,-10.3M,Wed
10/07/2013,17:00,USD,red,10-y Bond Auction,https://www.forexfactory.com/calendar?month=july.2013#detail=47677,2.67|2.6,,2.21|2.5,Wed
10/07/2013,18:00,USD,red,FOMC Meeting Minutes,https://www.forexfactory.com/calendar?month=july.2013#detail=44191,,,,Wed
10/07/2013,20:10,USD,red,Fed Chairman Bernanke Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49381,,,,Wed
10/07/2013,22:30,NZD,orange,BusinessNZ Manufacturing Index,https://www.forexfactory.com/calendar?month=july.2013#detail=44587,54.7,,59.0,Wed
10/07/2013,22:45,NZD,yellow,FPI m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=44677,2.1%,,0.3%,Wed
10/07/2013,23:50,JPY,orange,Core Machinery Orders m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=45208,10.5%,1.9%,-8.8%,Wed
11/07/2013,01:00,AUD,orange,MI Inflation Expectations,https://www.forexfactory.com/calendar?month=july.2013#detail=44320,2.6%,,2.3%,Thu
11/07/2013,01:30,AUD,red,Employment Change,https://www.forexfactory.com/calendar?month=july.2013#detail=44402,10.3K,0.3K,-0.7K,Thu
11/07/2013,,AUD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=july.2013#detail=44403,5.7%,5.6%,5.6%,Thu
11/07/2013,02:48,JPY,red,Monetary Policy Statement,https://www.forexfactory.com/calendar?month=july.2013#detail=44965,,,,Thu
11/07/2013,06:00,EUR,yellow,German WPI m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=47343,-0.4%,0.3%,-0.4%,Thu
11/07/2013,06:45,EUR,yellow,French Final CPI m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=47344,0.2%,0.1%,0.1%,Thu
11/07/2013,07:38,JPY,red,BOJ Press Conference,https://www.forexfactory.com/calendar?month=july.2013#detail=44966,,,,Thu
11/07/2013,08:00,EUR,orange,German Buba President Weidmann Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49402,,,,Thu
11/07/2013,,EUR,orange,ECB Monthly Bulletin,https://www.forexfactory.com/calendar?month=july.2013#detail=47462,,,,Thu
11/07/2013,08:30,GBP,orange,MPC Member Miles Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49392,,,,Thu
11/07/2013,09:42,GBP,yellow,30-y Bond Auction,https://www.forexfactory.com/calendar?month=july.2013#detail=49390,3.55|1.7,,3.29|2.0,Thu
11/07/2013,12:30,CAD,orange,NHPI m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=47807,0.1%,0.3%,0.2%,Thu
11/07/2013,,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=july.2013#detail=45507,360K,342K,344K,Thu
11/07/2013,,USD,orange,Import Prices m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46523,-0.2%,0.1%,-0.7%,Thu
11/07/2013,14:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=july.2013#detail=45559,82B,80B,72B,Thu
11/07/2013,15:00,USD,yellow,FOMC Member Tarullo Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49383,,,,Thu
11/07/2013,17:00,USD,yellow,30-y Bond Auction,https://www.forexfactory.com/calendar?month=july.2013#detail=47713,3.66|2.3,,3.36|2.5,Thu
11/07/2013,17:54,USD,orange,Federal Budget Balance,https://www.forexfactory.com/calendar?month=july.2013#detail=44210,116.5B,42.1B,-138.7B,Thu
12/07/2013,01:30,AUD,red,Home Loans m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=48334,1.8%,2.3%,1.2%,Fri
12/07/2013,04:30,JPY,yellow,Revised Industrial Production m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=45244,1.9%,2.0%,2.0%,Fri
12/07/2013,05:00,JPY,yellow,BOJ Monthly Report,https://www.forexfactory.com/calendar?month=july.2013#detail=44927,,,,Fri
12/07/2013,08:00,CNY,orange,New Loans,https://www.forexfactory.com/calendar?month=july.2013#detail=44877,861B,800B,667B,Fri
12/07/2013,,CNY,yellow,M2 Money Supply y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=44876,14.0%,15.3%,15.8%,Fri
12/07/2013,08:30,GBP,yellow,Construction Output m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=54207,0.0%,,4.6%,Fri
12/07/2013,09:00,EUR,orange,Industrial Production m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46908,-0.3%,-0.2%,0.5%,Fri
12/07/2013,,GBP,yellow,CB Leading Index m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=48275,0.4%,,0.2%,Fri
12/07/2013,12:30,USD,red,PPI m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46498,0.8%,0.5%,0.5%,Fri
12/07/2013,,USD,orange,Core PPI m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46510,0.2%,0.2%,0.1%,Fri
12/07/2013,13:55,USD,red,Prelim UoM Consumer Sentiment,https://www.forexfactory.com/calendar?month=july.2013#detail=46674,83.9,85.3,84.1,Fri
12/07/2013,,USD,yellow,Prelim UoM Inflation Expectations,https://www.forexfactory.com/calendar?month=july.2013#detail=46675,3.3%,,3.2%,Fri
12/07/2013,17:00,USD,orange,FOMC Member Bullard Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49384,,,,Fri
14/07/2013,22:30,NZD,yellow,BusinessNZ Services Index,https://www.forexfactory.com/calendar?month=july.2013#detail=127135,55.0,,56.2,Sun
14/07/2013,23:01,GBP,yellow,Rightmove HPI m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=45898,0.3%,,1.2%,Sun
15/07/2013,All Day,JPY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=july.2013#detail=48194,,,,Mon
15/07/2013,01:30,AUD,orange,New Motor Vehicle Sales m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=44502,4.0%,,0.3%,Mon
15/07/2013,02:00,CNY,red,GDP q/y,https://www.forexfactory.com/calendar?month=july.2013#detail=44860,7.5%,7.7%,7.7%,Mon
15/07/2013,,CNY,orange,Fixed Asset Investment ytd/y,https://www.forexfactory.com/calendar?month=july.2013#detail=44839,20.1%,20.3%,20.4%,Mon
15/07/2013,,CNY,orange,Industrial Production y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=44838,8.9%,9.1%,9.2%,Mon
15/07/2013,,CNY,orange,NBS Press Conference,https://www.forexfactory.com/calendar?month=july.2013#detail=44861,,,,Mon
15/07/2013,,CNY,yellow,Retail Sales y/y,https://www.forexfactory.com/calendar?month=july.2013#detail=44840,13.3%,12.9%,12.9%,Mon
15/07/2013,07:15,CHF,orange,PPI m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=45396,0.1%,0.3%,-0.3%,Mon
15/07/2013,12:00,USD,yellow,FOMC Member Tarullo Speaks,https://www.forexfactory.com/calendar?month=july.2013#detail=49403,,,,Mon
15/07/2013,12:30,USD,red,Core Retail Sales m/m,https://www.forexfactory.com/calendar?month=july.2013#detail=46362,0.0%,0.5%,0.3%,Mon
