date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/06/2015,00:12,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=june.2015#detail=54726,52.3,,48.0,Mon,Africa/Lagos
01/06/2015,00:50,JPY,yellow,Capital Spending q/y,https://www.forexfactory.com/calendar?month=june.2015#detail=56724,7.3%,-0.1%,2.8%,Mon,Africa/Lagos
01/06/2015,01:24,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=june.2015#detail=54834,0.3%,,0.3%,Mon,Africa/Lagos
01/06/2015,01:58,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2015#detail=54671,50.2,50.2,50.1,Mon,Africa/Lagos
01/06/2015,02:00,CNY,orange,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2015#detail=54683,53.2,,53.4,Mon,Africa/Lagos
01/06/2015,02:30,AUD,red,Building Approvals m/m,https://www.forexfactory.com/calendar?month=june.2015#detail=54946,-4.4%,-1.7%,2.9%,Mon,Africa/Lagos
01/06/2015,02:30,AUD,yellow,Company Operating Profits q/q,https://www.forexfactory.com/calendar?month=june.2015#detail=54918,0.2%,0.1%,-0.4%,Mon,Africa/Lagos
01/06/2015,02:35,JPY,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2015#detail=55372,50.9,50.9,50.9,Mon,Africa/Lagos
01/06/2015,02:45,CNY,red,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2015#detail=55373,49.2,49.2,49.1,Mon,Africa/Lagos
01/06/2015,All Day,EUR,orange,German Prelim CPI m/m,https://www.forexfactory.com/calendar?month=june.2015#detail=57605,0.1%,0.0%,0.0%,Mon,Africa/Lagos
01/06/2015,07:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=june.2015#detail=54906,-19.5%,,-20.7%,Mon,Africa/Lagos
