date,time,currency,impact,actual,forecast,previous,day,timezone,event,detail
30/01/2014,09:30,GBP,yellow,-1.4%,0.3%,0.1%,Thu,Africa/Lagos,,
30/01/2014,09:30,GBP,yellow,72K,73K,71K,Thu,Africa/Lagos,,
30/01/2014,10:16,EUR,orange,3.81|1.3,,4.11|1.3,Thu,Africa/Lagos,,
30/01/2014,13:30,USD,red,3.2%,3.3%,4.1%,Thu,Africa/Lagos,,
30/01/2014,13:30,USD,red,348K,331K,329K,Thu,Africa/Lagos,,
30/01/2014,13:30,USD,orange,1.3%,1.2%,2.0%,Thu,Africa/Lagos,,
30/01/2014,15:00,USD,red,-8.7%,-0.1%,-0.3%,Thu,Africa/Lagos,,
30/01/2014,15:30,USD,yellow,-230B,-225B,-107B,Thu,Africa/Lagos,,
30/01/2014,21:45,NZD,red,523M,550M,183M,Thu,Africa/Lagos,,
30/01/2014,23:00,NZD,red,,,,Thu,Africa/Lagos,,
30/01/2014,23:15,JPY,yellow,56.6,,55.2,Thu,Africa/Lagos,,
30/01/2014,23:30,JPY,orange,0.7%,1.2%,0.2%,Thu,Africa/Lagos,,
30/01/2014,23:30,JPY,orange,0.7%,0.7%,0.7%,Thu,Africa/Lagos,,
30/01/2014,23:30,JPY,yellow,1.3%,1.2%,1.2%,Thu,Africa/Lagos,,
30/01/2014,23:30,JPY,yellow,3.7%,3.9%,4.0%,Thu,Africa/Lagos,,
30/01/2014,23:50,JPY,orange,1.1%,1.3%,-0.1%,Thu,Africa/Lagos,,
30/01/2014,23:58,GBP,yellow,-7,-12,-13,Thu,Africa/Lagos,,
31/01/2014,All Day,CNY,gray,,,,Fri,Africa/Lagos,,
31/01/2014,00:30,AUD,red,0.2%,0.7%,1.3%,Fri,Africa/Lagos,,
31/01/2014,00:30,AUD,orange,0.5%,0.4%,0.3%,Fri,Africa/Lagos,,
31/01/2014,05:00,JPY,yellow,18.0%,13.9%,14.1%,Fri,Africa/Lagos,,
31/01/2014,07:00,EUR,orange,-2.5%,0.2%,0.9%,Fri,Africa/Lagos,,
31/01/2014,07:45,EUR,orange,-0.1%,-0.2%,1.4%,Fri,Africa/Lagos,,
31/01/2014,08:00,EUR,orange,0.2%,0.2%,0.3%,Fri,Africa/Lagos,,
31/01/2014,09:00,EUR,yellow,12.7%,12.7%,12.8%,Fri,Africa/Lagos,,
31/01/2014,10:00,EUR,red,0.7%,0.9%,0.8%,Fri,Africa/Lagos,,
31/01/2014,10:00,EUR,orange,0.8%,,0.7%,Fri,Africa/Lagos,,
31/01/2014,10:00,EUR,orange,12.0%,12.1%,12.0%,Fri,Africa/Lagos,,
31/01/2014,13:30,CAD,red,0.2%,0.2%,0.3%,Fri,Africa/Lagos,,
31/01/2014,13:30,USD,orange,0.1%,0.1%,0.1%,Fri,Africa/Lagos,,
31/01/2014,13:30,USD,orange,0.5%,0.4%,0.4%,Fri,Africa/Lagos,,
31/01/2014,13:30,USD,orange,0.4%,0.2%,0.6%,Fri,Africa/Lagos,,
31/01/2014,13:30,USD,yellow,0.0%,0.2%,0.2%,Fri,Africa/Lagos,,
31/01/2014,14:45,USD,orange,59.6,59.8,59.1,Fri,Africa/Lagos,,
31/01/2014,14:55,USD,orange,81.2,81.1,80.4,Fri,Africa/Lagos,,
31/01/2014,14:55,USD,yellow,3.1%,,3.0%,Fri,Africa/Lagos,,
31/01/2014,18:15,USD,orange,,,,Fri,Africa/Lagos,,
