date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/12/2008,00:30,AUD,yellow,Company Operating Profits q/q,https://www.forexfactory.com/calendar?month=december.2008#detail=11951,5.2%,3.3%,15.7%,Mon,Africa/Lagos
01/12/2008,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=18366,38.8,,44.6,Mon,Africa/Lagos
01/12/2008,01:30,JPY,orange,Average Cash Earnings y/y,https://www.forexfactory.com/calendar?month=december.2008#detail=9549,-0.1%,0.1%,0.2%,Mon,Africa/Lagos
01/12/2008,02:30,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=18363,40.9,,45.2,Mon,Africa/Lagos
01/12/2008,04:30,JPY,orange,BOJ Gov Shirakawa Speaks,https://www.forexfactory.com/calendar?month=december.2008#detail=12689,,,,Mon,Africa/Lagos
01/12/2008,05:30,AUD,orange,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=december.2008#detail=10278,35.0%,,35.9%,Mon,Africa/Lagos
01/12/2008,07:00,EUR,orange,German Retail Sales m/m,https://www.forexfactory.com/calendar?month=december.2008#detail=13369,-1.6%,0.5%,-1.0%,Mon,Africa/Lagos
01/12/2008,08:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=43812,29.4,,34.6,Mon,Africa/Lagos
01/12/2008,08:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=10222,35.2,45.5,47.0,Mon,Africa/Lagos
01/12/2008,08:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=43466,34.9,36.6,39.7,Mon,Africa/Lagos
01/12/2008,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=58918,37.3,37.8,37.9,Mon,Africa/Lagos
01/12/2008,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=58963,35.7,36.6,36.7,Mon,Africa/Lagos
01/12/2008,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=10252,35.6,36.2,36.2,Mon,Africa/Lagos
01/12/2008,All Day,EUR,yellow,Eurogroup Meetings,https://www.forexfactory.com/calendar?month=december.2008#detail=44060,,,,Mon,Africa/Lagos
01/12/2008,09:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=10090,34.4,39.8,40.7,Mon,Africa/Lagos
01/12/2008,,GBP,orange,Net Lending to Individuals m/m,https://www.forexfactory.com/calendar?month=december.2008#detail=11090,1.3B,2.2B,1.8B,Mon,Africa/Lagos
01/12/2008,,GBP,yellow,Mortgage Approvals,https://www.forexfactory.com/calendar?month=december.2008#detail=10284,32K,32K,33K,Mon,Africa/Lagos
01/12/2008,13:30,CAD,red,GDP m/m,https://www.forexfactory.com/calendar?month=december.2008#detail=8347,0.1%,0.2%,-0.5%,Mon,Africa/Lagos
01/12/2008,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=10103,36.2,37.2,38.9,Mon,Africa/Lagos
01/12/2008,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=december.2008#detail=9853,-1.2%,-0.9%,0.0%,Mon,Africa/Lagos
01/12/2008,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=december.2008#detail=10104,25.5,33.0,37.0,Mon,Africa/Lagos
01/12/2008,18:15,USD,yellow,FOMC Member Fisher Speaks,https://www.forexfactory.com/calendar?month=december.2008#detail=13478,,,,Mon,Africa/Lagos
01/12/2008,18:45,USD,red,Fed Chairman Bernanke Speaks,https://www.forexfactory.com/calendar?month=december.2008#detail=13477,,,,Mon,Africa/Lagos
01/12/2008,20:00,USD,yellow,Treasury Sec Paulson Speaks,https://www.forexfactory.com/calendar?month=december.2008#detail=13479,,,,Mon,Africa/Lagos
01/12/2008,23:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=december.2008#detail=11784,1.9%,2.0%,1.4%,Mon,Africa/Lagos
02/12/2008,00:30,AUD,red,Retail Sales m/m,https://www.forexfactory.com/calendar?month=december.2008#detail=8932,0.7%,-0.4%,-1.1%,Tue,Africa/Lagos
02/12/2008,,AUD,orange,Current Account,https://www.forexfactory.com/calendar?month=december.2008#detail=9786,-9.7B,-11.2B,-14.0B,Tue,Africa/Lagos
02/12/2008,03:30,AUD,red,Cash Rate,https://www.forexfactory.com/calendar?month=december.2008#detail=8082,4.25%,4.50%,5.25%,Tue,Africa/Lagos
02/12/2008,,AUD,red,RBA Rate Statement,https://www.forexfactory.com/calendar?month=december.2008#detail=8083,,,,Tue,Africa/Lagos
02/12/2008,03:45,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=december.2008#detail=48997,1.38|2.9,,1.50|2.3,Tue,Africa/Lagos
02/12/2008,05:34,JPY,orange,Monetary Policy Statement,https://www.forexfactory.com/calendar?month=december.2008#detail=13506,,,,Tue,Africa/Lagos
02/12/2008,,JPY,orange,Overnight Call Rate,https://www.forexfactory.com/calendar?month=december.2008#detail=13508,0.30%,0.30%,0.30%,Tue,Africa/Lagos
02/12/2008,06:45,CHF,orange,CPI m/m,https://www.forexfactory.com/calendar?month=december.2008#detail=8755,-0.7%,-0.3%,0.5%,Tue,Africa/Lagos
02/12/2008,07:06,JPY,red,BOJ Press Conference,https://www.forexfactory.com/calendar?month=december.2008#detail=13533,,,,Tue,Africa/Lagos
02/12/2008,08:00,EUR,yellow,Spanish Unemployment Change,https://www.forexfactory.com/calendar?month=december.2008#detail=43991,171.2K,,192.7K,Tue,Africa/Lagos
02/12/2008,All Day,EUR,yellow,ECOFIN Meetings,https://www.forexfactory.com/calendar?month=december.2008#detail=36349,,,,Tue,Africa/Lagos
02/12/2008,09:30,GBP,orange,Construction PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=10089,31.8,33.8,35.1,Tue,Africa/Lagos
02/12/2008,10:00,EUR,yellow,PPI m/m,https://www.forexfactory.com/calendar?month=december.2008#detail=8727,-0.8%,-0.3%,-0.3%,Tue,Africa/Lagos
02/12/2008,13:30,NZD,yellow,GDT Price Index,https://www.forexfactory.com/calendar?month=december.2008#detail=56212,-13.8%,,-11.3%,Tue,Africa/Lagos
02/12/2008,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=december.2008#detail=9749,10.2M,10.5M,10.6M,Tue,Africa/Lagos
02/12/2008,16:30,USD,yellow,Treasury Sec Paulson Speaks,https://www.forexfactory.com/calendar?month=december.2008#detail=13480,,,,Tue,Africa/Lagos
02/12/2008,17:30,USD,orange,FOMC Member Plosser Speaks,https://www.forexfactory.com/calendar?month=december.2008#detail=13364,,,,Tue,Africa/Lagos
02/12/2008,22:30,AUD,yellow,AIG Services Index,https://www.forexfactory.com/calendar?month=december.2008#detail=10217,37.8,,42.1,Tue,Africa/Lagos
03/12/2008,00:01,GBP,orange,Nationwide Consumer Confidence,https://www.forexfactory.com/calendar?month=december.2008#detail=9804,50,54,56,Wed,Africa/Lagos
03/12/2008,00:30,AUD,red,GDP q/q,https://www.forexfactory.com/calendar?month=december.2008#detail=8416,0.1%,0.2%,0.4%,Wed,Africa/Lagos
03/12/2008,01:00,CNY,yellow,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=42294,45.4,,56.7,Wed,Africa/Lagos
03/12/2008,02:06,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=december.2008#detail=9725,-7.2%,,-7.4%,Wed,Africa/Lagos
03/12/2008,08:15,EUR,yellow,Spanish Services PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=43908,28.2,,32.2,Wed,Africa/Lagos
03/12/2008,08:45,EUR,yellow,Italian Services PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=43526,39.5,43.5,45.7,Wed,Africa/Lagos
03/12/2008,08:50,EUR,yellow,French Final Services PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=59094,46.2,46.6,46.6,Wed,Africa/Lagos
03/12/2008,08:55,EUR,yellow,German Final Services PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=59103,45.1,46.2,46.2,Wed,Africa/Lagos
03/12/2008,09:00,EUR,orange,Final Services PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=10253,42.5,43.3,43.3,Wed,Africa/Lagos
03/12/2008,09:30,GBP,red,Final Services PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=10088,40.1,41.2,42.4,Wed,Africa/Lagos
03/12/2008,10:00,EUR,orange,Retail Sales m/m,https://www.forexfactory.com/calendar?month=december.2008#detail=8938,-0.8%,-0.4%,0.0%,Wed,Africa/Lagos
03/12/2008,10:33,GBP,yellow,BRC Shop Price Index y/y,https://www.forexfactory.com/calendar?month=december.2008#detail=9144,2.7%,,3.0%,Wed,Africa/Lagos
03/12/2008,12:30,USD,yellow,Challenger Job Cuts y/y,https://www.forexfactory.com/calendar?month=december.2008#detail=8616,148.4%,,78.9%,Wed,Africa/Lagos
03/12/2008,13:15,USD,red,ADP Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=december.2008#detail=8589,-250K,-200K,-179K,Wed,Africa/Lagos
03/12/2008,13:30,USD,orange,Revised Nonfarm Productivity q/q,https://www.forexfactory.com/calendar?month=december.2008#detail=9228,1.3%,1.0%,1.1%,Wed,Africa/Lagos
03/12/2008,,USD,yellow,Revised Unit Labor Costs q/q,https://www.forexfactory.com/calendar?month=december.2008#detail=9444,2.8%,3.6%,3.6%,Wed,Africa/Lagos
03/12/2008,15:00,USD,red,ISM Services PMI,https://www.forexfactory.com/calendar?month=december.2008#detail=10105,37.3,42.5,44.4,Wed,Africa/Lagos
