date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/02/2014,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=50479,50.5,50.6,51.0,Sat,Africa/Lagos
02/02/2014,22:23,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=february.2014#detail=50374,46.7,,47.6,Sun,Africa/Lagos
02/02/2014,23:30,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=february.2014#detail=50696,0.1%,,0.7%,Sun,Africa/Lagos
03/02/2014,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=february.2014#detail=53766,,,,Mon,Africa/Lagos
03/02/2014,00:30,AUD,red,Building Approvals m/m,https://www.forexfactory.com/calendar?month=february.2014#detail=50749,-2.9%,-0.3%,-0.3%,Mon,Africa/Lagos
03/02/2014,,AUD,orange,ANZ Job Advertisements m/m,https://www.forexfactory.com/calendar?month=february.2014#detail=50713,-0.3%,,-0.8%,Mon,Africa/Lagos
03/02/2014,00:49,CNY,orange,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=50491,53.4,,54.6,Mon,Africa/Lagos
03/02/2014,05:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=february.2014#detail=50664,-9.9%,,-3.6%,Mon,Africa/Lagos
03/02/2014,08:15,EUR,orange,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=50224,52.2,51.3,50.8,Mon,Africa/Lagos
03/02/2014,08:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=50220,56.1,55.1,53.9,Mon,Africa/Lagos
03/02/2014,08:45,EUR,orange,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=50223,53.1,54.2,53.3,Mon,Africa/Lagos
03/02/2014,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=59039,49.3,48.8,48.8,Mon,Africa/Lagos
03/02/2014,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=59041,56.5,56.3,56.3,Mon,Africa/Lagos
03/02/2014,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=50221,54.0,53.9,53.9,Mon,Africa/Lagos
03/02/2014,09:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=50222,56.7,57.1,57.2,Mon,Africa/Lagos
03/02/2014,13:30,CAD,orange,RMPI m/m,https://www.forexfactory.com/calendar?month=february.2014#detail=53578,1.9%,2.1%,-4.2%,Mon,Africa/Lagos
03/02/2014,,CAD,yellow,IPPI m/m,https://www.forexfactory.com/calendar?month=february.2014#detail=53576,0.7%,0.4%,0.2%,Mon,Africa/Lagos
03/02/2014,14:00,USD,orange,Treasury Sec Lew Speaks,https://www.forexfactory.com/calendar?month=february.2014#detail=53895,,,,Mon,Africa/Lagos
03/02/2014,,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=49672,53.7,53.8,53.7,Mon,Africa/Lagos
03/02/2014,14:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=59540,51.7,,53.5,Mon,Africa/Lagos
03/02/2014,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=49637,51.3,56.2,57.0,Mon,Africa/Lagos
03/02/2014,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=february.2014#detail=49660,0.1%,0.3%,0.8%,Mon,Africa/Lagos
03/02/2014,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=february.2014#detail=49638,60.5,54.2,53.5,Mon,Africa/Lagos
03/02/2014,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=february.2014#detail=52773,15.2M,15.6M,15.4M,Mon,Africa/Lagos
03/02/2014,19:00,USD,yellow,Loan Officer Survey,https://www.forexfactory.com/calendar?month=february.2014#detail=49799,,,,Mon,Africa/Lagos
03/02/2014,23:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=february.2014#detail=51432,51.9%,47.2%,46.6%,Mon,Africa/Lagos
04/02/2014,00:00,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=february.2014#detail=50992,1.2%,,1.0%,Tue,Africa/Lagos
04/02/2014,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=february.2014#detail=53767,,,,Tue,Africa/Lagos
04/02/2014,03:30,AUD,red,Cash Rate,https://www.forexfactory.com/calendar?month=february.2014#detail=49898,2.50%,2.50%,2.50%,Tue,Africa/Lagos
04/02/2014,,AUD,red,RBA Rate Statement,https://www.forexfactory.com/calendar?month=february.2014#detail=49899,,,,Tue,Africa/Lagos
04/02/2014,03:45,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=february.2014#detail=51418,0.60|3.2,,0.72|3.8,Tue,Africa/Lagos
04/02/2014,08:00,EUR,orange,Spanish Unemployment Change,https://www.forexfactory.com/calendar?month=february.2014#detail=53292,113.1K,-21.3K,-107.6K,Tue,Africa/Lagos
04/02/2014,09:30,GBP,red,Construction PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=50360,64.6,61.6,62.1,Tue,Africa/Lagos
04/02/2014,10:00,EUR,yellow,PPI m/m,https://www.forexfactory.com/calendar?month=february.2014#detail=52112,0.2%,0.3%,-0.1%,Tue,Africa/Lagos
04/02/2014,,EUR,yellow,Italian Prelim CPI m/m,https://www.forexfactory.com/calendar?month=february.2014#detail=53241,0.2%,0.3%,0.2%,Tue,Africa/Lagos
04/02/2014,13:30,NZD,yellow,GDT Price Index,https://www.forexfactory.com/calendar?month=february.2014#detail=56316,0.5%,,1.4%,Tue,Africa/Lagos
04/02/2014,15:00,USD,orange,Factory Orders m/m,https://www.forexfactory.com/calendar?month=february.2014#detail=52849,-1.5%,-1.9%,1.5%,Tue,Africa/Lagos
04/02/2014,,USD,yellow,RCM/TIPP Economic Optimism,https://www.forexfactory.com/calendar?month=february.2014#detail=49813,44.9,46.1,45.2,Tue,Africa/Lagos
04/02/2014,21:45,NZD,red,Employment Change q/q,https://www.forexfactory.com/calendar?month=february.2014#detail=51036,1.1%,0.6%,1.2%,Tue,Africa/Lagos
04/02/2014,,NZD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=february.2014#detail=51035,6.0%,6.0%,6.2%,Tue,Africa/Lagos
04/02/2014,,NZD,yellow,Labor Cost Index q/q,https://www.forexfactory.com/calendar?month=february.2014#detail=51007,0.6%,0.5%,0.4%,Tue,Africa/Lagos
04/02/2014,22:01,AUD,yellow,AIG Services Index,https://www.forexfactory.com/calendar?month=february.2014#detail=50375,49.3,,46.1,Tue,Africa/Lagos
05/02/2014,00:01,GBP,yellow,BRC Shop Price Index y/y,https://www.forexfactory.com/calendar?month=february.2014#detail=51745,-1.0%,,-0.8%,Wed,Africa/Lagos
05/02/2014,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=february.2014#detail=53768,,,,Wed,Africa/Lagos
05/02/2014,01:30,JPY,orange,Average Cash Earnings y/y,https://www.forexfactory.com/calendar?month=february.2014#detail=51310,0.8%,0.7%,0.6%,Wed,Africa/Lagos
05/02/2014,08:15,EUR,orange,Spanish Services PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=50408,54.9,55.3,54.2,Wed,Africa/Lagos
05/02/2014,08:45,EUR,orange,Italian Services PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=50414,49.4,48.2,47.9,Wed,Africa/Lagos
05/02/2014,08:50,EUR,yellow,French Final Services PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=59225,48.9,48.6,48.6,Wed,Africa/Lagos
05/02/2014,08:55,EUR,yellow,German Final Services PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=59231,53.1,53.6,53.6,Wed,Africa/Lagos
05/02/2014,09:00,EUR,yellow,Final Services PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=50411,51.6,51.9,51.9,Wed,Africa/Lagos
05/02/2014,09:30,GBP,red,Final Services PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=50348,58.3,59.1,58.8,Wed,Africa/Lagos
05/02/2014,10:00,EUR,orange,Retail Sales m/m,https://www.forexfactory.com/calendar?month=february.2014#detail=52113,-1.6%,-0.7%,0.9%,Wed,Africa/Lagos
05/02/2014,13:15,USD,red,ADP Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=february.2014#detail=49873,175K,191K,227K,Wed,Africa/Lagos
05/02/2014,13:30,CAD,red,Building Permits m/m,https://www.forexfactory.com/calendar?month=february.2014#detail=53496,-4.1%,2.3%,-6.6%,Wed,Africa/Lagos
05/02/2014,14:00,USD,yellow,Final Services PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=53485,56.7,56.6,56.6,Wed,Africa/Lagos
05/02/2014,15:00,USD,red,ISM Services PMI,https://www.forexfactory.com/calendar?month=february.2014#detail=52825,54.0,53.6,53.0,Wed,Africa/Lagos
