date,time,currency,impact,event,detail,actual,forecast,previous,day
17/06/2020,17:00,USD,red,Fed Chair Powell Testifies,https://www.forexfactory.com/calendar?month=june.2020#detail=116239,,,,Wed
17/06/2020,21:00,USD,yellow,FOMC Member Mester Speaks,https://www.forexfactory.com/calendar?month=june.2020#detail=116243,,,,Wed
17/06/2020,23:45,NZD,red,GDP q/q,https://www.forexfactory.com/calendar?month=june.2020#detail=113496,-1.6%,-1.0%,0.5%,Wed
18/06/2020,02:30,AUD,red,Employment Change,https://www.forexfactory.com/calendar?month=june.2020#detail=114589,-227.7K,-105.0K,-607.4K,Thu
18/06/2020,,AUD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=june.2020#detail=114601,7.1%,6.9%,6.4%,Thu
18/06/2020,,AUD,yellow,RBA Bulletin,https://www.forexfactory.com/calendar?month=june.2020#detail=114544,,,,Thu
18/06/2020,05:30,CHF,orange,SNB Financial Stability Report,https://www.forexfactory.com/calendar?month=june.2020#detail=111973,,,,Thu
18/06/2020,07:00,CHF,yellow,Trade Balance,https://www.forexfactory.com/calendar?month=june.2020#detail=112002,2.80B,3.95B,3.99B,Thu
18/06/2020,08:10,CNY,yellow,Foreign Direct Investment ytd/y,https://www.forexfactory.com/calendar?month=june.2020#detail=115732,-3.8%,,-6.1%,Thu
18/06/2020,08:30,CHF,red,SNB Monetary Policy Assessment,https://www.forexfactory.com/calendar?month=june.2020#detail=112065,,,,Thu
18/06/2020,,CHF,orange,SNB Policy Rate,https://www.forexfactory.com/calendar?month=june.2020#detail=112066,-0.75%,-0.75%,-0.75%,Thu
18/06/2020,09:00,CHF,red,SNB Press Conference,https://www.forexfactory.com/calendar?month=june.2020#detail=112071,,,,Thu
18/06/2020,,EUR,yellow,ECB Economic Bulletin,https://www.forexfactory.com/calendar?month=june.2020#detail=112806,,,,Thu
18/06/2020,09:03,EUR,yellow,Italian Trade Balance,https://www.forexfactory.com/calendar?month=june.2020#detail=111787,-1.16B,4.88B,5.68B,Thu
18/06/2020,09:57,EUR,yellow,Spanish 10-y Bond Auction,https://www.forexfactory.com/calendar?month=june.2020#detail=116245,0.53|3.9,,0.55|1.4,Thu
18/06/2020,12:00,GBP,red,Asset Purchase Facility,https://www.forexfactory.com/calendar?month=june.2020#detail=112095,745B,745B,645B,Thu
18/06/2020,,GBP,red,Monetary Policy Summary,https://www.forexfactory.com/calendar?month=june.2020#detail=112096,,,,Thu
18/06/2020,,GBP,red,MPC Official Bank Rate Votes,https://www.forexfactory.com/calendar?month=june.2020#detail=112097,0-0-9,0-0-9,0-0-9,Thu
18/06/2020,,GBP,red,Official Bank Rate,https://www.forexfactory.com/calendar?month=june.2020#detail=112099,0.10%,0.10%,0.10%,Thu
18/06/2020,12:02,GBP,red,MPC Asset Purchase Facility Votes,https://www.forexfactory.com/calendar?month=june.2020#detail=112098,8-0-1,9-0-0,2-0-7,Thu
18/06/2020,12:20,GBP,orange,BOE Inflation Letter,https://www.forexfactory.com/calendar?month=june.2020#detail=116254,,,,Thu
18/06/2020,13:30,CAD,orange,ADP Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=june.2020#detail=113688,208.4K,,-2361.7K,Thu
18/06/2020,,CAD,yellow,Wholesale Sales m/m,https://www.forexfactory.com/calendar?month=june.2020#detail=113799,-21.6%,-11.6%,-2.7%,Thu
18/06/2020,,USD,orange,Philly Fed Manufacturing Index,https://www.forexfactory.com/calendar?month=june.2020#detail=113888,27.5,-23.0,-43.1,Thu
