date,time,currency,impact,event,detail,actual,forecast,previous,day
01/07/2009,00:30,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=july.2009#detail=10854,38.4,,37.5,Wed
01/07/2009,00:50,JPY,red,Tankan Manufacturing Index,https://www.forexfactory.com/calendar?month=july.2009#detail=11343,-48,-43,-58,Wed
01/07/2009,,JPY,orange,Tankan Non-Manufacturing Index,https://www.forexfactory.com/calendar?month=july.2009#detail=11344,-29,-26,-31,Wed
01/07/2009,01:57,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2009#detail=18438,53.2,,53.1,Wed
01/07/2009,02:00,USD,orange,FOMC Member Yellen Speaks,https://www.forexfactory.com/calendar?month=july.2009#detail=22427,,,,Wed
01/07/2009,02:30,AUD,red,Building Approvals m/m,https://www.forexfactory.com/calendar?month=july.2009#detail=12832,-12.5%,3.2%,4.1%,Wed
01/07/2009,,AUD,red,Retail Sales m/m,https://www.forexfactory.com/calendar?month=july.2009#detail=12723,1.0%,0.5%,0.3%,Wed
01/07/2009,03:30,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2009#detail=18430,51.8,,51.2,Wed
01/07/2009,07:00,EUR,orange,German Retail Sales m/m,https://www.forexfactory.com/calendar?month=july.2009#detail=11795,0.4%,0.0%,0.5%,Wed
01/07/2009,07:30,AUD,orange,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=july.2009#detail=14060,-29.3%,,-23.4%,Wed
01/07/2009,08:15,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2009#detail=43819,42.8,,39.8,Wed
01/07/2009,08:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2009#detail=11104,41.8,41.1,39.8,Wed
01/07/2009,08:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2009#detail=43473,42.7,42.5,41.1,Wed
01/07/2009,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2009#detail=58852,45.9,45.5,45.5,Wed
01/07/2009,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2009#detail=58972,40.9,40.5,40.5,Wed
01/07/2009,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2009#detail=10931,42.6,42.4,42.4,Wed
01/07/2009,09:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=july.2009#detail=10877,47.0,46.4,45.4,Wed
01/07/2009,,GBP,yellow,Index of Services 3m/3m,https://www.forexfactory.com/calendar?month=july.2009#detail=13282,-1.2%,0.2%,-1.6%,Wed
01/07/2009,10:09,EUR,yellow,German 10-y Bond Auction,https://www.forexfactory.com/calendar?month=july.2009#detail=43218,3.40|1.3,,3.54|1.8,Wed
01/07/2009,12:30,USD,yellow,Challenger Job Cuts y/y,https://www.forexfactory.com/calendar?month=july.2009#detail=13847,-9.0%,,7.4%,Wed
01/07/2009,All Day,CAD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=july.2009#detail=14747,,,,Wed
