date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/06/2013,01:59,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2013#detail=44759,50.8,49.9,50.6,Sat,Africa/Lagos
02/06/2013,19:00,USD,orange,Fed Chairman Bernanke Speaks,https://www.forexfactory.com/calendar?month=june.2013#detail=49208,,,,Sun,Africa/Lagos
02/06/2013,All Day,NZD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=june.2013#detail=48170,,,,Sun,Africa/Lagos
03/06/2013,00:30,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=june.2013#detail=44270,43.8,,36.7,Mon,Africa/Lagos
03/06/2013,00:50,JPY,orange,Capital Spending q/y,https://www.forexfactory.com/calendar?month=june.2013#detail=45299,-3.9%,-5.5%,-8.7%,Mon,Africa/Lagos
03/06/2013,01:30,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=june.2013#detail=44458,0.2%,,0.3%,Mon,Africa/Lagos
03/06/2013,02:00,CNY,yellow,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2013#detail=44777,54.3,,54.5,Mon,Africa/Lagos
03/06/2013,02:30,AUD,red,Retail Sales m/m,https://www.forexfactory.com/calendar?month=june.2013#detail=44539,0.2%,0.3%,-0.4%,Mon,Africa/Lagos
03/06/2013,02:30,AUD,orange,ANZ Job Advertisements m/m,https://www.forexfactory.com/calendar?month=june.2013#detail=44419,-2.4%,,-1.7%,Mon,Africa/Lagos
03/06/2013,02:30,AUD,orange,Company Operating Profits q/q,https://www.forexfactory.com/calendar?month=june.2013#detail=44478,3.0%,1.6%,-0.5%,Mon,Africa/Lagos
03/06/2013,02:45,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2013#detail=44758,49.2,49.6,49.6,Mon,Africa/Lagos
03/06/2013,02:50,USD,orange,FOMC Member Yellen Speaks,https://www.forexfactory.com/calendar?month=june.2013#detail=49209,,,,Mon,Africa/Lagos
03/06/2013,07:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=june.2013#detail=44470,-8.6%,,-7.3%,Mon,Africa/Lagos
03/06/2013,08:15,EUR,orange,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2013#detail=47224,48.1,45.5,44.7,Mon,Africa/Lagos
03/06/2013,08:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2013#detail=45351,52.2,50.9,50.2,Mon,Africa/Lagos
03/06/2013,08:45,EUR,orange,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2013#detail=47220,47.3,46.2,45.5,Mon,Africa/Lagos
03/06/2013,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2013#detail=59020,46.4,45.5,45.5,Mon,Africa/Lagos
03/06/2013,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2013#detail=59023,49.4,49.0,49.0,Mon,Africa/Lagos
03/06/2013,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2013#detail=47216,48.3,47.8,47.8,Mon,Africa/Lagos
03/06/2013,09:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2013#detail=45812,51.3,50.3,50.2,Mon,Africa/Lagos
03/06/2013,14:00,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2013#detail=46763,52.3,52.0,51.9,Mon,Africa/Lagos
03/06/2013,14:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2013#detail=59532,53.2,,50.1,Mon,Africa/Lagos
03/06/2013,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=june.2013#detail=46727,49.0,50.6,50.7,Mon,Africa/Lagos
